cycle,pid,hostname,beta_pct,function_name,metric_name,device,func_type,mu_pct,sigma_pct,duration,interpolation_status,anchor_name,anchor_dur_us,cycle_start_ts,instances_count,simple_name
1,4013652,,171.0420,oncpu,cpu_frequency,Host,oncpu,77.1417,0.3689,2251289.7930,*,Scheduler.run_batch,1316220.2500,1763001580255100.7500,118418,oncpu
1,4013652,,171.0420,oncpu,host_cpu_usage,Host,oncpu,56.0250,0.0000,2251289.7930,*,Scheduler.run_batch,1316220.2500,1763001580255100.7500,118418,oncpu
1,4013652,,171.0420,oncpu,process_cpu_usage,Host,oncpu,2.7817,0.0000,2251289.7930,*,Scheduler.run_batch,1316220.2500,1763001580255100.7500,118418,oncpu
1,4013652,,27.8474,write,disk_usage,Host,disk_read_and_write,76.0028,0.0016,366532.5660,**,Scheduler.run_batch,1316220.2500,1763001580255100.7500,171804,write
1,4013652,,7.9588,runq,host_cpu_usage,Host,runq,56.0250,0.0000,104755.8480,**,Scheduler.run_batch,1316220.2500,1763001580255100.7500,118451,runq
1,4013652,,7.9588,runq,process_cpu_usage,Host,runq,2.7817,0.0000,104755.8480,**,Scheduler.run_batch,1316220.2500,1763001580255100.7500,118451,runq
1,4013652,,0.0013,cuStreamSynchronize,N/A,Host,cpu_sync,,,17.5760, ,Scheduler.run_batch,1316220.2500,1763001580255100.7500,2,cuStreamSynchronize
1,4013652,,0.0005,read,disk_usage,Host,disk_read_and_write,83.5550,0.0000,6.3190,**,Scheduler.run_batch,1316220.2500,1763001580255100.7500,1,read
2,4013652,,208.8079,oncpu,cpu_frequency,Host,oncpu,77.4158,0.8531,3160430.3130,*,Scheduler.run_batch,1513558.7500,1763001581571390.7500,121130,oncpu
2,4013652,,208.8079,oncpu,host_cpu_usage,Host,oncpu,55.6160,0.0000,3160430.3130,*,Scheduler.run_batch,1513558.7500,1763001581571390.7500,121130,oncpu
2,4013652,,208.8079,oncpu,process_cpu_usage,Host,oncpu,2.7829,0.0003,3160430.3130,*,Scheduler.run_batch,1513558.7500,1763001581571390.7500,121130,oncpu
2,4013652,,24.9919,write,disk_usage,Host,disk_read_and_write,76.3738,0.0019,378266.9970,**,Scheduler.run_batch,1513558.7500,1763001581571390.7500,171444,write
2,4013652,,7.1352,runq,host_cpu_usage,Host,runq,55.6160,0.0000,107994.7140,**,Scheduler.run_batch,1513558.7500,1763001581571390.7500,121169,runq
2,4013652,,7.1352,runq,process_cpu_usage,Host,runq,2.7829,0.0000,107994.7140,**,Scheduler.run_batch,1513558.7500,1763001581571390.7500,121169,runq
