cycle,pid,hostname,beta_pct,function_name,metric_name,device,func_type,mu_pct,sigma_pct,duration,interpolation_status,anchor_name,anchor_dur_us,cycle_start_ts,instances_count,simple_name
1,4013652,,162.9852,oncpu,process_cpu_usage,Host,oncpu,1.6396,0.0000,1017746.3150,**,Scheduler.run_batch,624440.7500,1763000605515065.5000,106018,oncpu
1,4013652,,27.0239,write,disk_usage,Host,disk_read_and_write,69.5201,0.0016,168748.3840,**,Scheduler.run_batch,624440.7500,1763000605515065.5000,138124,write
1,4013652,,6.6426,runq,process_cpu_usage,Host,runq,1.6396,0.0000,41478.8650,**,Scheduler.run_batch,624440.7500,1763000605515065.5000,106073,runq
1,4013652,,0.0015,cuStreamSynchronize,N/A,Host,cpu_sync,,,9.4220, ,Scheduler.run_batch,624440.7500,1763000605515065.5000,2,cuStreamSynchronize
2,4013652,,163.5107,oncpu,cpu_frequency,Host,oncpu,87.4992,0.0315,1031169.7030,*,Scheduler.run_batch,630643.5000,1763000606139530.7500,105382,oncpu
2,4013652,,163.5107,oncpu,host_cpu_usage,Host,oncpu,5.9080,0.0000,1031169.7030,*,Scheduler.run_batch,630643.5000,1763000606139530.7500,105382,oncpu
2,4013652,,27.4443,write,N/A,Host,disk_read_and_write,,,173075.8840, ,Scheduler.run_batch,630643.5000,1763000606139530.7500,140761,write
2,4013652,,6.6600,runq,host_cpu_usage,Host,runq,5.9080,0.0000,42000.9080,**,Scheduler.run_batch,630643.5000,1763000606139530.7500,105414,runq
2,4013652,,2.1518,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,process_gpu_usage,GPU 7,gpu_compute,6.0000,0.0000,13569.9480,**,Scheduler.run_batch,630643.5000,1763000606139530.7500,44,ampere_bf16_gemm
2,4013652,,1.4609,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,process_gpu_usage,GPU 7,gpu_compute,6.0000,0.0000,9213.1310,**,Scheduler.run_batch,630643.5000,1763000606139530.7500,86,ampere_bf16_gemm
2,4013652,,0.4317,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,process_gpu_usage,GPU 7,gpu_compute,6.0000,0.0000,2722.4930,**,Scheduler.run_batch,630643.5000,1763000606139530.7500,42,ampere_bf16_gemm
2,4013652,,0.1295,"void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)0, 16u, 1u, 2u, 8u, 8u, 1u, 4u, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<false, false, false, false> >, PagedParams>(PagedParams)",process_gpu_usage,GPU 7,gpu_compute,6.0000,0.0000,816.8660,**,Scheduler.run_batch,630643.5000,1763000606139530.7500,43,"void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)0, 16u, 1u, 2u, 8u, 8u, 1u, 4u, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<false, false, false, false> >, PagedParams>(PagedParams)"
2,4013652,,0.0997,"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",process_gpu_usage,GPU 7,gpu_compute,6.0000,0.0000,628.4470,**,Scheduler.run_batch,630643.5000,1763000606139530.7500,86,"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})"
2,4013652,,0.0840,"void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",process_gpu_usage,GPU 7,gpu_compute,6.0000,0.0000,529.9170,**,Scheduler.run_batch,630643.5000,1763000606139530.7500,86,"void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)"
2,4013652,,0.0785,"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &(float silu<float>(float const&))>(__nv_bfloat16*, __nv_bfloat16 const*, int)",process_gpu_usage,GPU 7,gpu_compute,6.0000,0.0000,495.1660,**,Scheduler.run_batch,630643.5000,1763000606139530.7500,43,"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &(float silu<float>(float const&))>(__nv_bfloat16*, __nv_bfloat16 const*, int)"
2,4013652,,0.0670,"void flashinfer::norm::RMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",process_gpu_usage,GPU 7,gpu_compute,6.0000,0.0000,422.6900,**,Scheduler.run_batch,630643.5000,1763000606139530.7500,84,"void flashinfer::norm::RMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)"
2,4013652,,0.0395,"void flashinfer::PersistentVariableLengthMergeStatesKernel<8u, 16u, 8u, 4u, __nv_bfloat16, __nv_bfloat16, int>(__nv_bfloat16*, float*, int*, __nv_bfloat16*, float*, unsigned int, unsigned int*, unsigned int)",process_gpu_usage,GPU 7,gpu_compute,6.0000,0.0000,249.2820,**,Scheduler.run_batch,630643.5000,1763000606139530.7500,43,"void flashinfer::PersistentVariableLengthMergeStatesKernel<8u, 16u, 8u, 4u, __nv_bfloat16, __nv_bfloat16, int>(__nv_bfloat16*, float*, int*, __nv_bfloat16*, float*, unsigned int, unsigned int*, unsigned int)"
2,4013652,,0.0309,"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel<false, 128u, 8u, 16u, __nv_bfloat16, long>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, float*, long*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",process_gpu_usage,GPU 7,gpu_compute,6.0000,0.0000,194.5970,**,Scheduler.run_batch,630643.5000,1763000606139530.7500,43,"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel<false, 128u, 8u, 16u, __nv_bfloat16, long>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, float*, long*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)"
2,4013652,,0.0153,"void flashinfer::sampling::TopKTopPSamplingFromProbKernel<1024u, (cub::CUB_200802_SM_800_890_900_1000_1200::BlockScanAlgorithm)2, (cub::CUB_200802_SM_800_890_900_1000_1200::BlockReduceAlgorithm)2, 4u, true, float, int>(float*, int*, float*, int*, int*, int, float, unsigned int, unsigned long, unsigned long)",process_gpu_usage,GPU 7,gpu_compute,6.0000,0.0000,96.7050,**,Scheduler.run_batch,630643.5000,1763000606139530.7500,1,"void flashinfer::sampling::TopKTopPSamplingFromProbKernel<1024u, (cub::CUB_200802_SM_800_890_900_1000_1200::BlockScanAlgorithm)2, (cub::CUB_200802_SM_800_890_900_1000_1200::BlockReduceAlgorithm)2, 4u, true, float, int>(float*, int*, float*, int*, int*, int, float, unsigned int, unsigned long, unsigned long)"
