cycle,pid,hostname,beta_pct,function_name,metric_name,device,func_type,mu_pct,sigma_pct,duration,interpolation_status,anchor_name,anchor_dur_us,cycle_start_ts,instances_count,simple_name
1,842126,,156.3981,oncpu,N/A,Host,oncpu,,,64159.1900, ,Qwen3DecoderLayer._wrapped_call_impl,41023.0000,1763014412823044.7500,1768,oncpu
1,842126,,26.3310,write,N/A,Host,disk_read_and_write,,,10801.7620, ,Qwen3DecoderLayer._wrapped_call_impl,41023.0000,1763014412823044.7500,2461,write
1,842126,,10.0548,runq,N/A,Host,runq,,,4124.7840, ,Qwen3DecoderLayer._wrapped_call_impl,41023.0000,1763014412823044.7500,1755,runq
2,842126,,191.2267,oncpu,N/A,Host,oncpu,,,74588.9160, ,Qwen3DecoderLayer._wrapped_call_impl,39005.5000,1763014412864247.0000,1937,oncpu
2,842126,,27.1767,write,N/A,Host,disk_read_and_write,,,10600.4200, ,Qwen3DecoderLayer._wrapped_call_impl,39005.5000,1763014412864247.0000,2487,write
2,842126,,11.4435,read,N/A,Host,disk_read_and_write,,,4463.5820, ,Qwen3DecoderLayer._wrapped_call_impl,39005.5000,1763014412864247.0000,236,read
2,842126,,7.4952,runq,N/A,Host,runq,,,2923.5460, ,Qwen3DecoderLayer._wrapped_call_impl,39005.5000,1763014412864247.0000,1933,runq
3,842126,,200.2723,oncpu,N/A,Host,oncpu,,,78320.9780, ,Qwen3DecoderLayer._wrapped_call_impl,39107.2500,1763014412903430.2500,1963,oncpu
3,842126,,27.0997,write,N/A,Host,disk_read_and_write,,,10597.9400, ,Qwen3DecoderLayer._wrapped_call_impl,39107.2500,1763014412903430.2500,2510,write
3,842126,,7.5453,runq,N/A,Host,runq,,,2950.7640, ,Qwen3DecoderLayer._wrapped_call_impl,39107.2500,1763014412903430.2500,1947,runq
3,842126,,4.8815,read,N/A,Host,disk_read_and_write,,,1909.0170, ,Qwen3DecoderLayer._wrapped_call_impl,39107.2500,1763014412903430.2500,159,read
4,842126,,112.8079,oncpu,cpu_frequency,Host,oncpu,22.5002,0.0044,314092.5270,*,Qwen3DecoderLayer._wrapped_call_impl,278431.2500,1763014412942689.2500,3593,oncpu
4,842126,,112.8079,oncpu,host_cpu_usage,Host,oncpu,4.9820,0.0000,314092.5270,*,Qwen3DecoderLayer._wrapped_call_impl,278431.2500,1763014412942689.2500,3593,oncpu
4,842126,,112.8079,oncpu,process_cpu_usage,Host,oncpu,1.5962,0.0000,314092.5270,*,Qwen3DecoderLayer._wrapped_call_impl,278431.2500,1763014412942689.2500,3593,oncpu
4,842126,,3.7720,write,disk_usage,Host,disk_read_and_write,71.7057,0.0000,10502.5230,**,Qwen3DecoderLayer._wrapped_call_impl,278431.2500,1763014412942689.2500,2483,write
4,842126,,2.5493,runq,host_cpu_usage,Host,runq,4.9820,0.0000,7097.9150,**,Qwen3DecoderLayer._wrapped_call_impl,278431.2500,1763014412942689.2500,3576,runq
4,842126,,2.5493,runq,process_cpu_usage,Host,runq,1.5962,0.0000,7097.9150,**,Qwen3DecoderLayer._wrapped_call_impl,278431.2500,1763014412942689.2500,3576,runq
4,842126,,0.0080,read,disk_usage,Host,disk_read_and_write,76.1833,0.0000,22.2710,**,Qwen3DecoderLayer._wrapped_call_impl,278431.2500,1763014412942689.2500,7,read
5,842126,,159.6758,oncpu,N/A,Host,oncpu,,,62599.6900, ,Qwen3DecoderLayer._wrapped_call_impl,39204.2500,1763014413221277.7500,1924,oncpu
5,842126,,26.1032,write,N/A,Host,disk_read_and_write,,,10233.5680, ,Qwen3DecoderLayer._wrapped_call_impl,39204.2500,1763014413221277.7500,2489,write
5,842126,,7.8201,runq,N/A,Host,runq,,,3065.7950, ,Qwen3DecoderLayer._wrapped_call_impl,39204.2500,1763014413221277.7500,1924,runq
6,842126,,159.2019,oncpu,N/A,Host,oncpu,,,61923.5720, ,Qwen3DecoderLayer._wrapped_call_impl,38896.2500,1763014413260676.0000,1913,oncpu
6,842126,,26.6494,write,N/A,Host,disk_read_and_write,,,10365.6130, ,Qwen3DecoderLayer._wrapped_call_impl,38896.2500,1763014413260676.0000,2491,write
6,842126,,7.7725,runq,N/A,Host,runq,,,3023.1940, ,Qwen3DecoderLayer._wrapped_call_impl,38896.2500,1763014413260676.0000,1912,runq
7,842126,,162.2565,oncpu,N/A,Host,oncpu,,,63064.6250, ,Qwen3DecoderLayer._wrapped_call_impl,38867.2500,1763014413299736.5000,1973,oncpu
7,842126,,26.4757,write,N/A,Host,disk_read_and_write,,,10290.3810, ,Qwen3DecoderLayer._wrapped_call_impl,38867.2500,1763014413299736.5000,2494,write
7,842126,,9.4209,runq,N/A,Host,runq,,,3661.6330, ,Qwen3DecoderLayer._wrapped_call_impl,38867.2500,1763014413299736.5000,1944,runq
8,842126,,159.5739,oncpu,N/A,Host,oncpu,,,62030.3720, ,Qwen3DecoderLayer._wrapped_call_impl,38872.5000,1763014413338728.5000,1952,oncpu
8,842126,,26.8821,write,N/A,Host,disk_read_and_write,,,10449.7430, ,Qwen3DecoderLayer._wrapped_call_impl,38872.5000,1763014413338728.5000,2492,write
8,842126,,7.7754,runq,N/A,Host,runq,,,3022.4960, ,Qwen3DecoderLayer._wrapped_call_impl,38872.5000,1763014413338728.5000,1950,runq
9,842126,,159.9273,oncpu,N/A,Host,oncpu,,,62259.6850, ,Qwen3DecoderLayer._wrapped_call_impl,38930.0000,1763014413377763.5000,1969,oncpu
9,842126,,26.6254,write,N/A,Host,disk_read_and_write,,,10365.2770, ,Qwen3DecoderLayer._wrapped_call_impl,38930.0000,1763014413377763.5000,2476,write
9,842126,,7.9427,runq,N/A,Host,runq,,,3092.1030, ,Qwen3DecoderLayer._wrapped_call_impl,38930.0000,1763014413377763.5000,1965,runq
10,842126,,160.7818,oncpu,N/A,Host,oncpu,,,62346.7570, ,Qwen3DecoderLayer._wrapped_call_impl,38777.2500,1763014413416821.5000,1991,oncpu
10,842126,,26.7433,write,N/A,Host,disk_read_and_write,,,10370.3250, ,Qwen3DecoderLayer._wrapped_call_impl,38777.2500,1763014413416821.5000,2485,write
10,842126,,8.0017,runq,N/A,Host,runq,,,3102.8410, ,Qwen3DecoderLayer._wrapped_call_impl,38777.2500,1763014413416821.5000,1991,runq
11,842126,,158.7461,oncpu,N/A,Host,oncpu,,,62267.7440, ,Qwen3DecoderLayer._wrapped_call_impl,39224.7500,1763014413455741.5000,2003,oncpu
11,842126,,26.7011,write,N/A,Host,disk_read_and_write,,,10473.4270, ,Qwen3DecoderLayer._wrapped_call_impl,39224.7500,1763014413455741.5000,2515,write
11,842126,,7.8778,runq,N/A,Host,runq,,,3090.0380, ,Qwen3DecoderLayer._wrapped_call_impl,39224.7500,1763014413455741.5000,2018,runq
12,842126,,161.6368,oncpu,N/A,Host,oncpu,,,62450.7840, ,Qwen3DecoderLayer._wrapped_call_impl,38636.5000,1763014413495132.7500,1934,oncpu
