cycle,pid,hostname,beta_pct,function_name,metric_name,device,func_type,mu_pct,sigma_pct,duration,interpolation_status,anchor_name,anchor_dur_us,cycle_start_ts,instances_count,simple_name
1,805580,,162.0961,oncpu,cpu_frequency,Host,oncpu,87.3432,0.0093,1023134.5670,*,Scheduler.run_batch,631190.0000,1763013921174589.5000,107490,oncpu
1,805580,,162.0961,oncpu,host_cpu_usage,Host,oncpu,5.4130,0.0000,1023134.5670,*,Scheduler.run_batch,631190.0000,1763013921174589.5000,107490,oncpu
1,805580,,26.8018,write,N/A,Host,disk_read_and_write,,,169170.5360, ,Scheduler.run_batch,631190.0000,1763013921174589.5000,140163,write
1,805580,,6.7050,runq,host_cpu_usage,Host,runq,5.4130,0.0000,42321.3910,**,Scheduler.run_batch,631190.0000,1763013921174589.5000,107495,runq
1,805580,,0.0015,cuStreamSynchronize,N/A,Host,cpu_sync,,,9.2060, ,Scheduler.run_batch,631190.0000,1763013921174589.5000,2,cuStreamSynchronize
2,805580,,162.9394,oncpu,cpu_frequency,Host,oncpu,87.4966,0.0624,1017942.2570,*,Scheduler.run_batch,624736.7500,1763013921805817.2500,105817,oncpu
2,805580,,162.9394,oncpu,host_cpu_usage,Host,oncpu,5.5280,0.0000,1017942.2570,*,Scheduler.run_batch,624736.7500,1763013921805817.2500,105817,oncpu
2,805580,,162.9394,oncpu,process_cpu_usage,Host,oncpu,1.6153,0.0000,1017942.2570,*,Scheduler.run_batch,624736.7500,1763013921805817.2500,105817,oncpu
2,805580,,25.9182,write,disk_usage,Host,disk_read_and_write,59.8903,0.0015,161920.5960,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,133660,write
2,805580,,6.9387,runq,host_cpu_usage,Host,runq,5.5280,0.0000,43348.5490,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,105868,runq
2,805580,,6.9387,runq,process_cpu_usage,Host,runq,1.6153,0.0000,43348.5490,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,105868,runq
2,805580,,0.3735,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_frequency,GPU 7,gpu_compute,141000.0000,0.0000,2333.6710,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,6,ampere_bf16_gemm
2,805580,,0.3735,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_receive,GPU 7,gpu_compute,0.0000,0.0000,2333.6710,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,6,ampere_bf16_gemm
2,805580,,0.3735,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_transmit,GPU 7,gpu_compute,0.0000,0.0000,2333.6710,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,6,ampere_bf16_gemm
2,805580,,0.3735,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_mem_frequency,GPU 7,gpu_compute,159300.0000,0.0000,2333.6710,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,6,ampere_bf16_gemm
2,805580,,0.3735,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_mem_used,GPU 7,gpu_compute,85.7049,0.0000,2333.6710,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,6,ampere_bf16_gemm
2,805580,,0.3735,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_frequency,GPU 7,gpu_compute,141000.0000,0.0000,2333.6710,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,6,ampere_bf16_gemm
2,805580,,0.3735,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_occupancy,GPU 7,gpu_compute,0.0800,0.0000,2333.6710,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,6,ampere_bf16_gemm
2,805580,,0.3735,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_util,GPU 7,gpu_compute,0.7920,0.0000,2333.6710,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,6,ampere_bf16_gemm
2,805580,,0.3735,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_usage,GPU 7,gpu_compute,6.0000,0.0000,2333.6710,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,6,ampere_bf16_gemm
2,805580,,0.1712,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_frequency,GPU 7,gpu_compute,141000.0000,0.0000,1069.5380,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,10,ampere_bf16_gemm
2,805580,,0.1712,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_receive,GPU 7,gpu_compute,0.0000,0.0000,1069.5380,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,10,ampere_bf16_gemm
2,805580,,0.1712,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_transmit,GPU 7,gpu_compute,0.0000,0.0000,1069.5380,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,10,ampere_bf16_gemm
2,805580,,0.1712,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_mem_frequency,GPU 7,gpu_compute,159300.0000,0.0000,1069.5380,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,10,ampere_bf16_gemm
2,805580,,0.1712,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_mem_used,GPU 7,gpu_compute,85.7049,0.0000,1069.5380,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,10,ampere_bf16_gemm
2,805580,,0.1712,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_frequency,GPU 7,gpu_compute,141000.0000,0.0000,1069.5380,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,10,ampere_bf16_gemm
2,805580,,0.1712,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_occupancy,GPU 7,gpu_compute,0.0800,0.0000,1069.5380,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,10,ampere_bf16_gemm
2,805580,,0.1712,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_util,GPU 7,gpu_compute,0.7920,0.0000,1069.5380,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,10,ampere_bf16_gemm
2,805580,,0.1712,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_usage,GPU 7,gpu_compute,6.0000,0.0000,1069.5380,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,10,ampere_bf16_gemm
2,805580,,0.0519,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_frequency,GPU 7,gpu_compute,141000.0000,0.0000,323.9340,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,5,ampere_bf16_gemm
2,805580,,0.0519,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_link_receive,GPU 7,gpu_compute,0.0000,0.0000,323.9340,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,5,ampere_bf16_gemm
2,805580,,0.0519,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_link_transmit,GPU 7,gpu_compute,0.0000,0.0000,323.9340,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,5,ampere_bf16_gemm
2,805580,,0.0519,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_mem_frequency,GPU 7,gpu_compute,159300.0000,0.0000,323.9340,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,5,ampere_bf16_gemm
2,805580,,0.0519,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_mem_used,GPU 7,gpu_compute,85.7049,0.0000,323.9340,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,5,ampere_bf16_gemm
2,805580,,0.0519,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_sm_frequency,GPU 7,gpu_compute,141000.0000,0.0000,323.9340,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,5,ampere_bf16_gemm
2,805580,,0.0519,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_sm_occupancy,GPU 7,gpu_compute,0.0800,0.0000,323.9340,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,5,ampere_bf16_gemm
2,805580,,0.0519,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_sm_util,GPU 7,gpu_compute,0.7920,0.0000,323.9340,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,5,ampere_bf16_gemm
2,805580,,0.0519,ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_usage,GPU 7,gpu_compute,6.0000,0.0000,323.9340,**,Scheduler.run_batch,624736.7500,1763013921805817.2500,5,ampere_bf16_gemm
