cycle,pid,hostname,beta_pct,function_name,metric_name,device,func_type,mu_pct,sigma_pct,duration,interpolation_status,anchor_name,anchor_dur_us,cycle_start_ts,instances_count,simple_name
1,944615,,156.8058,oncpu,cpu_frequency,Host,oncpu,87.5001,0.0340,1156340.7210,*,Scheduler.run_batch,737434.7500,1762935807026558.7500,125820,oncpu
1,944615,,156.8058,oncpu,host_cpu_usage,Host,oncpu,6.2630,0.0000,1156340.7210,*,Scheduler.run_batch,737434.7500,1762935807026558.7500,125820,oncpu
1,944615,,27.1843,write,N/A,Host,disk_read_and_write,,,200466.6150, ,Scheduler.run_batch,737434.7500,1762935807026558.7500,167985,write
1,944615,,7.6629,runq,host_cpu_usage,Host,runq,6.2630,0.0000,56508.6890,**,Scheduler.run_batch,737434.7500,1762935807026558.7500,125867,runq
1,944615,,0.0013,cuStreamSynchronize,N/A,Host,cpu_sync,,,9.2550, ,Scheduler.run_batch,737434.7500,1762935807026558.7500,2,cuStreamSynchronize
1,944615,,0.0004,read,N/A,Host,disk_read_and_write,,,2.6660, ,Scheduler.run_batch,737434.7500,1762935807026558.7500,1,read
2,944615,,158.0346,oncpu,cpu_frequency,Host,oncpu,87.4995,0.0113,1190879.8760,*,Scheduler.run_batch,753556.2500,1762935807764034.0000,124884,oncpu
2,944615,,158.0346,oncpu,host_cpu_usage,Host,oncpu,8.6470,0.0000,1190879.8760,*,Scheduler.run_batch,753556.2500,1762935807764034.0000,124884,oncpu
2,944615,,158.0346,oncpu,process_cpu_usage,Host,oncpu,1.6865,0.0000,1190879.8760,*,Scheduler.run_batch,753556.2500,1762935807764034.0000,124884,oncpu
2,944615,,27.3244,write,disk_usage,Host,disk_read_and_write,59.6284,0.0009,205904.4940,**,Scheduler.run_batch,753556.2500,1762935807764034.0000,169441,write
2,944615,,7.8936,runq,host_cpu_usage,Host,runq,8.6470,0.0000,59482.9450,**,Scheduler.run_batch,753556.2500,1762935807764034.0000,124849,runq
2,944615,,7.8936,runq,process_cpu_usage,Host,runq,1.6865,0.0000,59482.9450,**,Scheduler.run_batch,753556.2500,1762935807764034.0000,124849,runq
2,944615,,1.5124,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_frequency,GPU 7,gpu_compute,141000.0000,0.0000,11396.7280,**,Scheduler.run_batch,753556.2500,1762935807764034.0000,36,ampere_bf16_gemm
2,944615,,1.5124,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_receive,GPU 7,gpu_compute,0.0000,0.0000,11396.7280,**,Scheduler.run_batch,753556.2500,1762935807764034.0000,36,ampere_bf16_gemm
2,944615,,1.5124,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_transmit,GPU 7,gpu_compute,0.0000,0.0000,11396.7280,**,Scheduler.run_batch,753556.2500,1762935807764034.0000,36,ampere_bf16_gemm
2,944615,,1.5124,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_mem_frequency,GPU 7,gpu_compute,159300.0000,0.0000,11396.7280,**,Scheduler.run_batch,753556.2500,1762935807764034.0000,36,ampere_bf16_gemm
