cycle,pid,hostname,beta_pct,function_name,metric_name,device,func_type,mu_pct,sigma_pct,duration,interpolation_status,anchor_name,anchor_dur_us,cycle_start_ts,instances_count,simple_name
1,923228,,153.9959,oncpu,cpu_frequency,Host,oncpu,87.5007,0.0009,1889505.7860,*,Scheduler.run_batch,1226984.5000,1762935251877491.7500,146399,oncpu
1,923228,,153.9959,oncpu,host_cpu_usage,Host,oncpu,8.3450,0.0000,1889505.7860,*,Scheduler.run_batch,1226984.5000,1762935251877491.7500,146399,oncpu
1,923228,,153.9959,oncpu,process_cpu_usage,Host,oncpu,1.6249,0.0000,1889505.7860,*,Scheduler.run_batch,1226984.5000,1762935251877491.7500,146399,oncpu
1,923228,,29.2639,write,disk_usage,Host,disk_read_and_write,63.6173,0.0017,359063.1770,**,Scheduler.run_batch,1226984.5000,1762935251877491.7500,198390,write
1,923228,,5.9158,runq,host_cpu_usage,Host,runq,8.3450,0.0000,72586.0310,**,Scheduler.run_batch,1226984.5000,1762935251877491.7500,140879,runq
1,923228,,5.9158,runq,process_cpu_usage,Host,runq,1.6252,0.0000,72586.0310,**,Scheduler.run_batch,1226984.5000,1762935251877491.7500,140879,runq
1,923228,,0.3009,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,gpu_frequency,GPU 6,gpu_compute,141000.0000,0.0000,3691.9430,**,Scheduler.run_batch,1226984.5000,1762935251877491.7500,23,ampere_bf16_gemm
1,923228,,0.3009,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,gpu_link_receive,GPU 6,gpu_compute,4477984086.8282,17094.7666,3691.9430,**,Scheduler.run_batch,1226984.5000,1762935251877491.7500,23,ampere_bf16_gemm
1,923228,,0.3009,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,gpu_link_transmit,GPU 6,gpu_compute,4477982110.6954,17094.6785,3691.9430,**,Scheduler.run_batch,1226984.5000,1762935251877491.7500,23,ampere_bf16_gemm
1,923228,,0.3009,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,gpu_mem_frequency,GPU 6,gpu_compute,159300.0000,0.0000,3691.9430,**,Scheduler.run_batch,1226984.5000,1762935251877491.7500,23,ampere_bf16_gemm
1,923228,,0.3009,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,gpu_mem_used,GPU 6,gpu_compute,86.3519,0.0000,3691.9430,**,Scheduler.run_batch,1226984.5000,1762935251877491.7500,23,ampere_bf16_gemm
1,923228,,0.3009,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,gpu_sm_frequency,GPU 6,gpu_compute,141000.0000,0.0000,3691.9430,**,Scheduler.run_batch,1226984.5000,1762935251877491.7500,23,ampere_bf16_gemm
1,923228,,0.3009,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,gpu_sm_occupancy,GPU 6,gpu_compute,0.0434,0.0000,3691.9430,**,Scheduler.run_batch,1226984.5000,1762935251877491.7500,23,ampere_bf16_gemm
1,923228,,0.3009,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,gpu_sm_util,GPU 6,gpu_compute,0.4638,0.0000,3691.9430,**,Scheduler.run_batch,1226984.5000,1762935251877491.7500,23,ampere_bf16_gemm
1,923228,,0.3009,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,gpu_usage,GPU 6,gpu_compute,89.0000,0.0000,3691.9430,**,Scheduler.run_batch,1226984.5000,1762935251877491.7500,23,ampere_bf16_gemm
1,923228,,0.3009,ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,process_gpu_usage,GPU 6,gpu_compute,2.0000,0.0000,3691.9430,**,Scheduler.run_batch,1226984.5000,1762935251877491.7500,23,ampere_bf16_gemm
1,923228,,0.2803,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_frequency,GPU 6,gpu_compute,141000.0000,0.0000,3439.3700,**,Scheduler.run_batch,1226984.5000,1762935251877491.7500,69,ampere_bf16_gemm
1,923228,,0.2803,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_receive,GPU 6,gpu_compute,4478509647.8373,6878.2451,3439.3700,**,Scheduler.run_batch,1226984.5000,1762935251877491.7500,69,ampere_bf16_gemm
