cycle,pid,hostname,beta_pct,function_name,metric_name,device,func_type,mu_pct,sigma_pct,duration,interpolation_status,anchor_name,anchor_dur_us,cycle_start_ts,instances_count,simple_name
1,2329762,,176.4666,oncpu,cpu_frequency,Host,oncpu,77.0484,0.3070,1385814.5380,*,EngineCoreProc._process_engine_step,785312.5000,1763085335830741.2500,42549,oncpu
1,2329762,,176.4666,oncpu,host_cpu_usage,Host,oncpu,56.2400,0.0000,1385814.5380,*,EngineCoreProc._process_engine_step,785312.5000,1763085335830741.2500,42549,oncpu
1,2329762,,176.4666,oncpu,process_cpu_usage,Host,oncpu,3.2053,0.0000,1385814.5380,*,EngineCoreProc._process_engine_step,785312.5000,1763085335830741.2500,42549,oncpu
1,2329762,,23.8101,write,disk_usage,Host,disk_read_and_write,83.7527,0.0045,186983.9790,**,EngineCoreProc._process_engine_step,785312.5000,1763085335830741.2500,92509,write
1,2329762,,7.0212,runq,host_cpu_usage,Host,runq,56.2400,0.0000,55138.5440,**,EngineCoreProc._process_engine_step,785312.5000,1763085335830741.2500,42609,runq
1,2329762,,7.0212,runq,process_cpu_usage,Host,runq,3.2053,0.0000,55138.5440,**,EngineCoreProc._process_engine_step,785312.5000,1763085335830741.2500,42609,runq
1,2329762,,0.0043,cuStreamSynchronize,N/A,Host,cpu_sync,,,33.4900, ,EngineCoreProc._process_engine_step,785312.5000,1763085335830741.2500,2,cuStreamSynchronize
1,2329762,,0.0013,read,disk_usage,Host,disk_read_and_write,71.9260,0.0000,10.4350,**,EngineCoreProc._process_engine_step,785312.5000,1763085335830741.2500,5,read
2,2329762,,203.2118,oncpu,cpu_frequency,Host,oncpu,76.9184,0.4850,1435316.2160,*,EngineCoreProc._process_engine_step,706315.5000,1763085336616111.2500,40451,oncpu
2,2329762,,203.2118,oncpu,host_cpu_usage,Host,oncpu,55.8250,0.0000,1435316.2160,*,EngineCoreProc._process_engine_step,706315.5000,1763085336616111.2500,40451,oncpu
2,2329762,,203.2118,oncpu,process_cpu_usage,Host,oncpu,3.2061,0.0000,1435316.2160,*,EngineCoreProc._process_engine_step,706315.5000,1763085336616111.2500,40451,oncpu
2,2329762,,25.3541,write,disk_usage,Host,disk_read_and_write,83.0122,0.0028,179079.5870,**,EngineCoreProc._process_engine_step,706315.5000,1763085336616111.2500,89613,write
2,2329762,,7.9876,runq,host_cpu_usage,Host,runq,55.8250,0.0000,56417.7020,**,EngineCoreProc._process_engine_step,706315.5000,1763085336616111.2500,40491,runq
2,2329762,,7.9876,runq,process_cpu_usage,Host,runq,3.2061,0.0000,56417.7020,**,EngineCoreProc._process_engine_step,706315.5000,1763085336616111.2500,40491,runq
2,2329762,,0.0041,cuStreamSynchronize,N/A,Host,cpu_sync,,,29.2810, ,EngineCoreProc._process_engine_step,706315.5000,1763085336616111.2500,2,cuStreamSynchronize
2,2329762,,0.0004,read,disk_usage,Host,disk_read_and_write,86.3000,0.0000,2.9590,**,EngineCoreProc._process_engine_step,706315.5000,1763085336616111.2500,1,read
3,2329762,,186.8945,oncpu,process_cpu_usage,Host,oncpu,3.2070,0.0000,1378143.4400,**,EngineCoreProc._process_engine_step,737391.2500,1763085337322486.0000,41139,oncpu
3,2329762,,25.4009,write,disk_usage,Host,disk_read_and_write,50.9576,0.0026,187303.9400,**,EngineCoreProc._process_engine_step,737391.2500,1763085337322486.0000,95497,write
3,2329762,,7.9041,runq,process_cpu_usage,Host,runq,3.2070,0.0000,58283.8490,**,EngineCoreProc._process_engine_step,737391.2500,1763085337322486.0000,41201,runq
3,2329762,,2.5081,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_receive,GPU 7,gpu_compute,0.0000,0.0000,18494.5770,**,EngineCoreProc._process_engine_step,737391.2500,1763085337322486.0000,58,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
3,2329762,,2.5081,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_transmit,GPU 7,gpu_compute,0.0000,0.0000,18494.5770,**,EngineCoreProc._process_engine_step,737391.2500,1763085337322486.0000,58,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
3,2329762,,2.5081,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_occupancy,GPU 7,gpu_compute,0.0650,0.0000,18494.5770,**,EngineCoreProc._process_engine_step,737391.2500,1763085337322486.0000,58,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
3,2329762,,2.5081,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_util,GPU 7,gpu_compute,0.6370,0.0000,18494.5770,**,EngineCoreProc._process_engine_step,737391.2500,1763085337322486.0000,58,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
3,2329762,,2.5081,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,process_gpu_usage,GPU 7,gpu_compute,7.0000,0.0000,18494.5770,**,EngineCoreProc._process_engine_step,737391.2500,1763085337322486.0000,58,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
3,2329762,,1.7006,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_receive,GPU 7,gpu_compute,0.0000,0.0000,12539.9640,**,EngineCoreProc._process_engine_step,737391.2500,1763085337322486.0000,114,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
3,2329762,,1.7006,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_transmit,GPU 7,gpu_compute,0.0000,0.0000,12539.9640,**,EngineCoreProc._process_engine_step,737391.2500,1763085337322486.0000,114,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
3,2329762,,1.7006,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_occupancy,GPU 7,gpu_compute,0.0650,0.0000,12539.9640,**,EngineCoreProc._process_engine_step,737391.2500,1763085337322486.0000,114,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
3,2329762,,1.7006,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_util,GPU 7,gpu_compute,0.6370,0.0000,12539.9640,**,EngineCoreProc._process_engine_step,737391.2500,1763085337322486.0000,114,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
3,2329762,,1.7006,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,process_gpu_usage,GPU 7,gpu_compute,7.0000,0.0000,12539.9640,**,EngineCoreProc._process_engine_step,737391.2500,1763085337322486.0000,114,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
3,2329762,,0.5094,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_link_receive,GPU 7,gpu_compute,0.0000,0.0000,3756.4860,**,EngineCoreProc._process_engine_step,737391.2500,1763085337322486.0000,56,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn
3,2329762,,0.5094,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_link_transmit,GPU 7,gpu_compute,0.0000,0.0000,3756.4860,**,EngineCoreProc._process_engine_step,737391.2500,1763085337322486.0000,56,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn
3,2329762,,0.5094,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_sm_occupancy,GPU 7,gpu_compute,0.0650,0.0000,3756.4860,**,EngineCoreProc._process_engine_step,737391.2500,1763085337322486.0000,56,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn
