cycle,pid,hostname,beta_pct,function_name,metric_name,device,func_type,mu_pct,sigma_pct,duration,interpolation_status,anchor_name,anchor_dur_us,cycle_start_ts,instances_count,simple_name
1,2329762,,157.3637,oncpu,cpu_frequency,Host,oncpu,22.5003,0.0042,2877727.0560,*,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,78388,oncpu
1,2329762,,157.3637,oncpu,host_cpu_usage,Host,oncpu,6.7976,0.1052,2877727.0560,*,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,78388,oncpu
1,2329762,,157.3637,oncpu,process_cpu_usage,Host,oncpu,3.1358,0.0001,2877727.0560,*,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,78388,oncpu
1,2329762,,25.4932,write,disk_usage,Host,disk_read_and_write,78.8960,0.0023,466197.2850,**,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,105981,write
1,2329762,,6.8829,runq,host_cpu_usage,Host,runq,6.7963,0.0000,125867.4850,**,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,78403,runq
1,2329762,,6.8829,runq,process_cpu_usage,Host,runq,3.1358,0.0000,125867.4850,**,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,78403,runq
1,2329762,,1.1277,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_frequency,GPU 7,gpu_compute,115500.0000,0.0000,20622.7150,**,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,65,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
1,2329762,,1.1277,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_receive,GPU 7,gpu_compute,0.0000,0.0000,20622.7150,**,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,65,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
1,2329762,,1.1277,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_transmit,GPU 7,gpu_compute,0.0000,0.0000,20622.7150,**,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,65,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
1,2329762,,1.1277,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_mem_frequency,GPU 7,gpu_compute,159300.0000,0.0000,20622.7150,**,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,65,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
1,2329762,,1.1277,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_mem_used,GPU 7,gpu_compute,90.5185,0.0000,20622.7150,**,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,65,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
1,2329762,,1.1277,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_frequency,GPU 7,gpu_compute,115500.0000,0.0000,20622.7150,**,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,65,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
1,2329762,,1.1277,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_occupancy,GPU 7,gpu_compute,0.0230,0.0000,20622.7150,**,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,65,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
1,2329762,,1.1277,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_util,GPU 7,gpu_compute,0.2310,0.0000,20622.7150,**,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,65,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
1,2329762,,1.1277,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_usage,GPU 7,gpu_compute,3.0000,0.0000,20622.7150,**,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,65,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
1,2329762,,1.1277,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,process_gpu_usage,GPU 7,gpu_compute,3.0000,0.0000,20622.7150,**,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,65,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
1,2329762,,0.7722,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_frequency,GPU 7,gpu_compute,115500.0000,0.0000,14121.2990,**,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,128,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
1,2329762,,0.7722,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_receive,GPU 7,gpu_compute,0.0000,0.0000,14121.2990,**,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,128,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
1,2329762,,0.7722,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_transmit,GPU 7,gpu_compute,0.0000,0.0000,14121.2990,**,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,128,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
1,2329762,,0.7722,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_mem_frequency,GPU 7,gpu_compute,159300.0000,0.0000,14121.2990,**,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,128,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
1,2329762,,0.7722,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_mem_used,GPU 7,gpu_compute,90.5185,0.0000,14121.2990,**,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,128,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
1,2329762,,0.7722,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_frequency,GPU 7,gpu_compute,115500.0000,0.0000,14121.2990,**,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,128,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
1,2329762,,0.7722,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_occupancy,GPU 7,gpu_compute,0.0230,0.0000,14121.2990,**,EngineCoreProc._process_engine_step,1828711.2500,1763085664694232.2500,128,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
