cycle,pid,hostname,beta_pct,function_name,metric_name,device,func_type,mu_pct,sigma_pct,duration,interpolation_status,anchor_name,anchor_dur_us,cycle_start_ts,instances_count,simple_name
1,2300005,,150.9250,oncpu,N/A,Host,oncpu,,,819402.1860, ,EngineCoreProc._process_engine_step,542920.2500,1763084519359804.2500,74737,oncpu
1,2300005,,22.1996,write,N/A,Host,disk_read_and_write,,,120526.3840, ,EngineCoreProc._process_engine_step,542920.2500,1763084519359804.2500,105807,write
1,2300005,,5.5754,runq,N/A,Host,runq,,,30269.7820, ,EngineCoreProc._process_engine_step,542920.2500,1763084519359804.2500,74789,runq
1,2300005,,0.2528,read,N/A,Host,disk_read_and_write,,,1372.4520, ,EngineCoreProc._process_engine_step,542920.2500,1763084519359804.2500,277,read
1,2300005,,0.0029,cuStreamSynchronize,N/A,Host,cpu_sync,,,15.9220, ,EngineCoreProc._process_engine_step,542920.2500,1763084519359804.2500,2,cuStreamSynchronize
2,2300005,,157.7214,oncpu,cpu_frequency,Host,oncpu,87.3773,0.7254,729718.7170,*,EngineCoreProc._process_engine_step,462663.0000,1763084519902758.5000,75389,oncpu
2,2300005,,157.7214,oncpu,host_cpu_usage,Host,oncpu,5.9540,0.0000,729718.7170,*,EngineCoreProc._process_engine_step,462663.0000,1763084519902758.5000,75389,oncpu
2,2300005,,157.7214,oncpu,process_cpu_usage,Host,oncpu,3.2829,0.0000,729718.7170,*,EngineCoreProc._process_engine_step,462663.0000,1763084519902758.5000,75389,oncpu
2,2300005,,25.7303,write,disk_usage,Host,disk_read_and_write,62.2896,0.0032,119044.5800,**,EngineCoreProc._process_engine_step,462663.0000,1763084519902758.5000,103626,write
2,2300005,,6.4941,runq,host_cpu_usage,Host,runq,5.9540,0.0000,30045.9340,**,EngineCoreProc._process_engine_step,462663.0000,1763084519902758.5000,75364,runq
2,2300005,,6.4941,runq,process_cpu_usage,Host,runq,3.2829,0.0000,30045.9340,**,EngineCoreProc._process_engine_step,462663.0000,1763084519902758.5000,75364,runq
2,2300005,,0.0037,cuStreamSynchronize,N/A,Host,cpu_sync,,,17.1950, ,EngineCoreProc._process_engine_step,462663.0000,1763084519902758.5000,2,cuStreamSynchronize
2,2300005,,0.0003,read,disk_usage,Host,disk_read_and_write,48.0340,0.0000,1.2190,**,EngineCoreProc._process_engine_step,462663.0000,1763084519902758.5000,1,read
3,2300005,,157.2570,oncpu,N/A,Host,oncpu,,,735785.8230, ,EngineCoreProc._process_engine_step,467887.5000,1763084520365479.2500,75962,oncpu
3,2300005,,25.9256,write,N/A,Host,disk_read_and_write,,,121302.6600, ,EngineCoreProc._process_engine_step,467887.5000,1763084520365479.2500,105817,write
3,2300005,,6.3608,runq,N/A,Host,runq,,,29761.5550, ,EngineCoreProc._process_engine_step,467887.5000,1763084520365479.2500,75976,runq
3,2300005,,0.0036,cuStreamSynchronize,N/A,Host,cpu_sync,,,16.9210, ,EngineCoreProc._process_engine_step,467887.5000,1763084520365479.2500,2,cuStreamSynchronize
3,2300005,,0.0002,read,N/A,Host,disk_read_and_write,,,1.0780, ,EngineCoreProc._process_engine_step,467887.5000,1763084520365479.2500,1,read
4,2300005,,156.9692,oncpu,cpu_frequency,Host,oncpu,87.3894,0.7474,741495.9270,*,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,73432,oncpu
4,2300005,,156.9692,oncpu,host_cpu_usage,Host,oncpu,5.1770,0.0000,741495.9270,*,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,73432,oncpu
4,2300005,,156.9692,oncpu,process_cpu_usage,Host,oncpu,3.2872,0.0000,741495.9270,*,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,73432,oncpu
4,2300005,,25.5892,write,disk_usage,Host,disk_read_and_write,78.7112,0.0021,120878.9700,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,105913,write
4,2300005,,6.2298,runq,host_cpu_usage,Host,runq,5.1770,0.0000,29428.6190,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,73446,runq
4,2300005,,6.2298,runq,process_cpu_usage,Host,runq,3.2872,0.0000,29428.6190,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,73446,runq
4,2300005,,3.1420,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_frequency,GPU 7,gpu_compute,141000.0000,0.0000,14842.4150,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,47,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
4,2300005,,3.1420,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_receive,GPU 7,gpu_compute,0.0000,0.0000,14842.4150,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,47,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
4,2300005,,3.1420,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_transmit,GPU 7,gpu_compute,0.0000,0.0000,14842.4150,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,47,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
4,2300005,,3.1420,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_mem_frequency,GPU 7,gpu_compute,159300.0000,0.0000,14842.4150,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,47,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
4,2300005,,3.1420,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_mem_used,GPU 7,gpu_compute,90.5185,0.0000,14842.4150,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,47,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
4,2300005,,3.1420,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_frequency,GPU 7,gpu_compute,141000.0000,0.0000,14842.4150,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,47,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
4,2300005,,3.1420,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_occupancy,GPU 7,gpu_compute,0.0720,0.0000,14842.4150,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,47,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
4,2300005,,3.1420,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_util,GPU 7,gpu_compute,0.7130,0.0000,14842.4150,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,47,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
4,2300005,,3.1420,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_usage,GPU 7,gpu_compute,10.0000,0.0000,14842.4150,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,47,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
4,2300005,,2.1124,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_frequency,GPU 7,gpu_compute,141000.0000,0.0000,9978.8120,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,92,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
4,2300005,,2.1124,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_receive,GPU 7,gpu_compute,0.0000,0.0000,9978.8120,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,92,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
4,2300005,,2.1124,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_transmit,GPU 7,gpu_compute,0.0000,0.0000,9978.8120,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,92,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
4,2300005,,2.1124,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_mem_frequency,GPU 7,gpu_compute,159300.0000,0.0000,9978.8120,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,92,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
4,2300005,,2.1124,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_mem_used,GPU 7,gpu_compute,90.5185,0.0000,9978.8120,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,92,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
4,2300005,,2.1124,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_frequency,GPU 7,gpu_compute,141000.0000,0.0000,9978.8120,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,92,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
4,2300005,,2.1124,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_occupancy,GPU 7,gpu_compute,0.0720,0.0000,9978.8120,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,92,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
4,2300005,,2.1124,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_util,GPU 7,gpu_compute,0.7130,0.0000,9978.8120,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,92,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
4,2300005,,2.1124,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_usage,GPU 7,gpu_compute,10.0000,0.0000,9978.8120,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,92,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
4,2300005,,0.6426,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_frequency,GPU 7,gpu_compute,141000.0000,0.0000,3035.5910,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,46,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn
4,2300005,,0.6426,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_link_receive,GPU 7,gpu_compute,0.0000,0.0000,3035.5910,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,46,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn
4,2300005,,0.6426,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_link_transmit,GPU 7,gpu_compute,0.0000,0.0000,3035.5910,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,46,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn
4,2300005,,0.6426,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_mem_frequency,GPU 7,gpu_compute,159300.0000,0.0000,3035.5910,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,46,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn
4,2300005,,0.6426,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_mem_used,GPU 7,gpu_compute,90.5185,0.0000,3035.5910,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,46,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn
4,2300005,,0.6426,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_sm_frequency,GPU 7,gpu_compute,141000.0000,0.0000,3035.5910,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,46,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn
4,2300005,,0.6426,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_sm_occupancy,GPU 7,gpu_compute,0.0720,0.0000,3035.5910,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,46,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn
4,2300005,,0.6426,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_sm_util,GPU 7,gpu_compute,0.7130,0.0000,3035.5910,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,46,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn
4,2300005,,0.6426,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_usage,GPU 7,gpu_compute,10.0000,0.0000,3035.5910,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,46,ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn
4,2300005,,0.2267,"void vllm::act_and_mul_kernel<c10::Half, &(c10::Half vllm::silu_kernel<c10::Half>(c10::Half const&)), true>(c10::Half*, c10::Half const*, int)",gpu_frequency,GPU 7,gpu_compute,141000.0000,0.0000,1070.7200,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,46,"void vllm::act_and_mul_kernel<c10::Half, &(c10::Half vllm::silu_kernel<c10::Half>(c10::Half const&)), true>(c10::Half*, c10::Half const*, int)"
4,2300005,,0.2267,"void vllm::act_and_mul_kernel<c10::Half, &(c10::Half vllm::silu_kernel<c10::Half>(c10::Half const&)), true>(c10::Half*, c10::Half const*, int)",gpu_link_receive,GPU 7,gpu_compute,0.0000,0.0000,1070.7200,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,46,"void vllm::act_and_mul_kernel<c10::Half, &(c10::Half vllm::silu_kernel<c10::Half>(c10::Half const&)), true>(c10::Half*, c10::Half const*, int)"
4,2300005,,0.2267,"void vllm::act_and_mul_kernel<c10::Half, &(c10::Half vllm::silu_kernel<c10::Half>(c10::Half const&)), true>(c10::Half*, c10::Half const*, int)",gpu_link_transmit,GPU 7,gpu_compute,0.0000,0.0000,1070.7200,**,EngineCoreProc._process_engine_step,472383.0000,1763084520833411.2500,46,"void vllm::act_and_mul_kernel<c10::Half, &(c10::Half vllm::silu_kernel<c10::Half>(c10::Half const&)), true>(c10::Half*, c10::Half const*, int)"
