cycle,pid,hostname,beta_pct,function_name,metric_name,device,func_type,mu_pct,sigma_pct,duration,interpolation_status,anchor_name,anchor_dur_us,cycle_start_ts,instances_count,simple_name
1,1571875,,160.3926,oncpu,process_cpu_usage,Host,oncpu,2.8293,0.0000,764803.8330,**,EngineCoreProc._process_engine_step,476832.2500,1763022934559669.7500,72755,oncpu
1,1571875,,26.3875,write,disk_usage,Host,disk_read_and_write,67.3564,0.0050,125824.0480,**,EngineCoreProc._process_engine_step,476832.2500,1763022934559669.7500,106777,write
1,1571875,,6.0069,runq,process_cpu_usage,Host,runq,2.8293,0.0000,28642.8010,**,EngineCoreProc._process_engine_step,476832.2500,1763022934559669.7500,72777,runq
1,1571875,,0.3344,cuStreamSynchronize,N/A,Host,cpu_sync,,,1594.3620, ,EngineCoreProc._process_engine_step,476832.2500,1763022934559669.7500,2,cuStreamSynchronize
1,1571875,,0.0002,read,disk_usage,Host,disk_read_and_write,66.1740,0.0000,0.9160,**,EngineCoreProc._process_engine_step,476832.2500,1763022934559669.7500,1,read
2,1571875,,160.6898,oncpu,cpu_frequency,Host,oncpu,87.4971,0.0420,794618.9720,*,EngineCoreProc._process_engine_step,494505.0000,1763022935036563.0000,74175,oncpu
2,1571875,,160.6898,oncpu,host_cpu_usage,Host,oncpu,10.1220,0.0000,794618.9720,*,EngineCoreProc._process_engine_step,494505.0000,1763022935036563.0000,74175,oncpu
2,1571875,,26.1943,write,N/A,Host,disk_read_and_write,,,129531.9080, ,EngineCoreProc._process_engine_step,494505.0000,1763022935036563.0000,106251,write
2,1571875,,6.6214,runq,host_cpu_usage,Host,runq,10.1220,0.0000,32743.3910,**,EngineCoreProc._process_engine_step,494505.0000,1763022935036563.0000,74207,runq
2,1571875,,0.5847,cuStreamSynchronize,N/A,Host,cpu_sync,,,2891.1240, ,EngineCoreProc._process_engine_step,494505.0000,1763022935036563.0000,2,cuStreamSynchronize
2,1571875,,0.0003,read,N/A,Host,disk_read_and_write,,,1.2850, ,EngineCoreProc._process_engine_step,494505.0000,1763022935036563.0000,1,read
3,1571875,,159.3222,oncpu,N/A,Host,oncpu,,,765923.6770, ,EngineCoreProc._process_engine_step,480738.7500,1763022935531113.7500,72478,oncpu
3,1571875,,25.9889,write,disk_usage,Host,disk_read_and_write,85.0260,0.0000,124938.5160,**,EngineCoreProc._process_engine_step,480738.7500,1763022935531113.7500,106722,write
3,1571875,,8.3842,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,process_gpu_usage,GPU 3,gpu_compute,37.0000,0.0000,40305.8700,**,EngineCoreProc._process_engine_step,480738.7500,1763022935531113.7500,37,ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn
