cycle,pid,hostname,beta_pct,function_name,metric_name,device,func_type,mu_pct,sigma_pct,duration,interpolation_status,anchor_name,anchor_dur_us,cycle_start_ts,instances_count,simple_name
1,1571875,,159.6525,oncpu,N/A,Host,oncpu,,,761835.9920, ,EngineCoreProc._process_engine_step,477184.0000,1763022660469318.2500,73859,oncpu
1,1571875,,26.0826,write,N/A,Host,disk_read_and_write,,,124462.0520, ,EngineCoreProc._process_engine_step,477184.0000,1763022660469318.2500,106906,write
1,1571875,,6.2031,runq,N/A,Host,runq,,,29600.3460, ,EngineCoreProc._process_engine_step,477184.0000,1763022660469318.2500,73925,runq
1,1571875,,0.0036,cuStreamSynchronize,N/A,Host,cpu_sync,,,17.1710, ,EngineCoreProc._process_engine_step,477184.0000,1763022660469318.2500,2,cuStreamSynchronize
1,1571875,,0.0002,read,N/A,Host,disk_read_and_write,,,1.0710, ,EngineCoreProc._process_engine_step,477184.0000,1763022660469318.2500,1,read
2,1571875,,161.3504,oncpu,cpu_frequency,Host,oncpu,87.4967,0.0679,764609.2820,*,EngineCoreProc._process_engine_step,473881.2500,1763022660946529.5000,72809,oncpu
2,1571875,,161.3504,oncpu,host_cpu_usage,Host,oncpu,10.6980,0.0000,764609.2820,*,EngineCoreProc._process_engine_step,473881.2500,1763022660946529.5000,72809,oncpu
2,1571875,,161.3504,oncpu,process_cpu_usage,Host,oncpu,2.6431,0.0000,764609.2820,*,EngineCoreProc._process_engine_step,473881.2500,1763022660946529.5000,72809,oncpu
2,1571875,,26.4992,write,disk_usage,Host,disk_read_and_write,51.8793,0.0019,125574.8200,**,EngineCoreProc._process_engine_step,473881.2500,1763022660946529.5000,107008,write
2,1571875,,6.3347,runq,host_cpu_usage,Host,runq,10.6980,0.0000,30018.9410,**,EngineCoreProc._process_engine_step,473881.2500,1763022660946529.5000,72796,runq
2,1571875,,6.3347,runq,process_cpu_usage,Host,runq,2.6431,0.0000,30018.9410,**,EngineCoreProc._process_engine_step,473881.2500,1763022660946529.5000,72796,runq
2,1571875,,0.0036,cuStreamSynchronize,N/A,Host,cpu_sync,,,17.2540, ,EngineCoreProc._process_engine_step,473881.2500,1763022660946529.5000,2,cuStreamSynchronize
2,1571875,,0.0002,read,disk_usage,Host,disk_read_and_write,77.5980,0.0000,0.7620,**,EngineCoreProc._process_engine_step,473881.2500,1763022660946529.5000,1,read
3,1571875,,160.0643,oncpu,N/A,Host,oncpu,,,755729.7540, ,EngineCoreProc._process_engine_step,472141.2500,1763022661420452.5000,72885,oncpu
3,1571875,,25.8977,write,N/A,Host,disk_read_and_write,,,122273.8590, ,EngineCoreProc._process_engine_step,472141.2500,1763022661420452.5000,107044,write
