cycle,pid,hostname,beta_pct,function_name,metric_name,device,func_type,mu_pct,sigma_pct,duration,interpolation_status,anchor_name,anchor_dur_us,cycle_start_ts,instances_count,simple_name
1,2520152,,162.4017,oncpu,cpu_frequency,Host,oncpu,87.5000,0.0008,1290485.3650,*,decorate_context,794625.5000,1763087937828216.0000,106140,oncpu
1,2520152,,162.4017,oncpu,host_cpu_usage,Host,oncpu,9.2450,0.0000,1290485.3650,*,decorate_context,794625.5000,1763087937828216.0000,106140,oncpu
1,2520152,,162.4017,oncpu,process_cpu_usage,Host,oncpu,2.5576,0.0000,1290485.3650,*,decorate_context,794625.5000,1763087937828216.0000,106140,oncpu
1,2520152,,28.7069,write,disk_usage,Host,disk_read_and_write,63.6922,0.0017,228112.6960,**,decorate_context,794625.5000,1763087937828216.0000,125850,write
1,2520152,,5.2266,runq,host_cpu_usage,Host,runq,9.2450,0.0000,41531.7890,**,decorate_context,794625.5000,1763087937828216.0000,101675,runq
1,2520152,,5.2266,runq,process_cpu_usage,Host,runq,2.5576,0.0000,41531.7890,**,decorate_context,794625.5000,1763087937828216.0000,101675,runq
1,2520152,,3.6828,cuStreamSynchronize,N/A,Host,cpu_sync,,,29264.1010, ,decorate_context,794625.5000,1763087937828216.0000,2,cuStreamSynchronize
1,2520153,,161.5062,oncpu,cpu_frequency,Host,oncpu,87.5000,0.0014,1283369.6130,*,decorate_context,794625.5000,1763087937828216.0000,105649,oncpu
1,2520153,,161.5062,oncpu,host_cpu_usage,Host,oncpu,9.2450,0.0000,1283369.6130,*,decorate_context,794625.5000,1763087937828216.0000,105649,oncpu
1,2520153,,161.5062,oncpu,process_cpu_usage,Host,oncpu,2.5576,0.0000,1283369.6130,*,decorate_context,794625.5000,1763087937828216.0000,105649,oncpu
1,2520153,,27.4066,write,disk_usage,Host,disk_read_and_write,64.4461,0.0013,217779.5760,**,decorate_context,794625.5000,1763087937828216.0000,121709,write
1,2520153,,5.2216,runq,host_cpu_usage,Host,runq,9.2450,0.0000,41492.5110,**,decorate_context,794625.5000,1763087937828216.0000,101141,runq
1,2520153,,5.2216,runq,process_cpu_usage,Host,runq,2.5576,0.0000,41492.5110,**,decorate_context,794625.5000,1763087937828216.0000,101141,runq
1,2520153,,0.0018,cuStreamSynchronize,N/A,Host,cpu_sync,,,13.9530, ,decorate_context,794625.5000,1763087937828216.0000,1,cuStreamSynchronize
2,2520152,,165.8781,oncpu,cpu_frequency,Host,oncpu,87.5001,0.0006,1262127.1480,*,decorate_context,760876.5000,1763087938622842.5000,108021,oncpu
2,2520152,,165.8781,oncpu,host_cpu_usage,Host,oncpu,9.2180,0.0000,1262127.1480,*,decorate_context,760876.5000,1763087938622842.5000,108021,oncpu
2,2520152,,165.8781,oncpu,process_cpu_usage,Host,oncpu,2.5598,0.0000,1262127.1480,*,decorate_context,760876.5000,1763087938622842.5000,108021,oncpu
2,2520152,,30.7894,write,disk_usage,Host,disk_read_and_write,76.8056,0.0020,234269.1310,**,decorate_context,760876.5000,1763087938622842.5000,129267,write
2,2520152,,5.2788,runq,host_cpu_usage,Host,runq,9.2180,0.0000,40165.3090,**,decorate_context,760876.5000,1763087938622842.5000,102786,runq
2,2520152,,5.2788,runq,process_cpu_usage,Host,runq,2.5598,0.0000,40165.3090,**,decorate_context,760876.5000,1763087938622842.5000,102786,runq
