name,life_time,category,uuid,type,rank,position,loc1,loc1_type,loc2,loc2_type,loc3,loc3_type,config,inventory,details
container,,CAT_CONTAINER,container0,,container0,,0,CAT_CONTAINER,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""container0""}","{""macro"":{""container_id"":""container0"",""cpu"":{""limit"":0,""max_limit"":0},""finish_time"":""2025-11-24T08:24:20.385790132+08:00"",""has_cpu"":false,""image"":""image0"",""ip"":"""",""is_sandbox"":false,""labels"":{},""pid"":3406712,""quota_id"":"""",""runtime"":""nvidia"",""start_time"":""2025-11-25T09:15:56.621796454+08:00"",""status"":""running""}}",
CPU0,,CAT_CPU,CPU0,,0,CPU0,0,CAT_CPU,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""0""}","{""macro"":{""cache_size"":8305,""cores"":32,""current_speed"":2900,""family"":179,""freq"":""4000 MHz"",""model"":""Intel(R) Xeon(R) Platinum 8369B CPU @ 2.90GHz"",""power"":""1.6"",""serial"":""*******"",""status"":65,""threads"":64,""vendor"":""Intel(R) Corporation""}}",
CPU1,,CAT_CPU,CPU1,,1,CPU1,1,CAT_CPU,host0,CAT_HOST,,,"{""env"":{""hostname"":""host0""},""index"":""1""}","{""macro"":{""cache_size"":8313,""cores"":32,""current_speed"":2900,""family"":179,""freq"":""4000 MHz"",""model"":""Intel(R) Xeon(R) Platinum 8369B CPU @ 2.90GHz"",""power"":""1.6"",""serial"":""*******"",""status"":65,""threads"":64,""vendor"":""Intel(R) Corporation""}}",
thread_1058845,,CAT_NVLINK,1058845,,1058845,1058845,,,,,,,"{""index"":""1058845""}",{},
thread_1058846,,CAT_NVLINK,1058846,,1058846,1058846,,,,,,,"{""index"":""1058846""}",{},
thread_1058854,,CAT_NVLINK,1058854,,1058854,1058854,,,,,,,"{""index"":""1058854""}",{},
thread_1059778,,CAT_NVLINK,1059778,,1059778,1059778,,,,,,,"{""index"":""1059778""}",{},
thread_1059790,,CAT_NVLINK,1059790,,1059790,1059790,,,,,,,"{""index"":""1059790""}",{},
thread_1059791,,CAT_NVLINK,1059791,,1059791,1059791,,,,,,,"{""index"":""1059791""}",{},
thread_1059805,,CAT_NVLINK,1059805,,1059805,1059805,,,,,,,"{""index"":""1059805""}",{},
thread_1058841,,CAT_NVLINK,1058841,,1058841,1058841,,,,,,,"{""index"":""1058841""}",{},
thread_1059818,,CAT_NVLINK,1059818,,1059818,1059818,,,,,,,"{""index"":""1059818""}",{},
thread_1058805,,CAT_NVLINK,1058805,,1058805,1058805,,,,,,,"{""index"":""1058805""}",{},
thread_1058847,,CAT_NVLINK,1058847,,1058847,1058847,,,,,,,"{""index"":""1058847""}",{},
thread_1059804,,CAT_NVLINK,1059804,,1059804,1059804,,,,,,,"{""index"":""1059804""}",{},
thread_1059822,,CAT_NVLINK,1059822,,1059822,1059822,,,,,,,"{""index"":""1059822""}",{},
thread_1058804,,CAT_NVLINK,1058804,,1058804,1058804,,,,,,,"{""index"":""1058804""}",{},
thread_1058832,,CAT_NVLINK,1058832,,1058832,1058832,,,,,,,"{""index"":""1058832""}",{},
thread_1059780,,CAT_NVLINK,1059780,,1059780,1059780,,,,,,,"{""index"":""1059780""}",{},
thread_1059798,,CAT_NVLINK,1059798,,1059798,1059798,,,,,,,"{""index"":""1059798""}",{},
thread_1060490,,CAT_NVLINK,1060490,,1060490,1060490,,,,,,,"{""index"":""1060490""}",{},
thread_1115268,,CAT_NVLINK,1115268,,1115268,1115268,,,,,,,"{""index"":""1115268""}",{},
thread_1058820,,CAT_NVLINK,1058820,,1058820,1058820,,,,,,,"{""index"":""1058820""}",{},
thread_1060495,,CAT_NVLINK,1060495,,1060495,1060495,,,,,,,"{""index"":""1060495""}",{},
thread_1058800,,CAT_NVLINK,1058800,,1058800,1058800,,,,,,,"{""index"":""1058800""}",{},
thread_1058853,,CAT_NVLINK,1058853,,1058853,1058853,,,,,,,"{""index"":""1058853""}",{},
thread_1059829,,CAT_NVLINK,1059829,,1059829,1059829,,,,,,,"{""index"":""1059829""}",{},
thread_1060502,,CAT_NVLINK,1060502,,1060502,1060502,,,,,,,"{""index"":""1060502""}",{},
thread_1061145,,CAT_NVLINK,1061145,,1061145,1061145,,,,,,,"{""index"":""1061145""}",{},
thread_1058849,,CAT_NVLINK,1058849,,1058849,1058849,,,,,,,"{""index"":""1058849""}",{},
thread_1058796,,CAT_NVLINK,1058796,,1058796,1058796,,,,,,,"{""index"":""1058796""}",{},
thread_1058808,,CAT_NVLINK,1058808,,1058808,1058808,,,,,,,"{""index"":""1058808""}",{},
thread_1058812,,CAT_NVLINK,1058812,,1058812,1058812,,,,,,,"{""index"":""1058812""}",{},
thread_1058815,,CAT_NVLINK,1058815,,1058815,1058815,,,,,,,"{""index"":""1058815""}",{},
thread_1060489,,CAT_NVLINK,1060489,,1060489,1060489,,,,,,,"{""index"":""1060489""}",{},
thread_1060510,,CAT_NVLINK,1060510,,1060510,1060510,,,,,,,"{""index"":""1060510""}",{},
thread_1058793,,CAT_NVLINK,1058793,,1058793,1058793,,,,,,,"{""index"":""1058793""}",{},
thread_1059785,,CAT_NVLINK,1059785,,1059785,1059785,,,,,,,"{""index"":""1059785""}",{},
thread_1059792,,CAT_NVLINK,1059792,,1059792,1059792,,,,,,,"{""index"":""1059792""}",{},
thread_1059823,,CAT_NVLINK,1059823,,1059823,1059823,,,,,,,"{""index"":""1059823""}",{},
thread_1060508,,CAT_NVLINK,1060508,,1060508,1060508,,,,,,,"{""index"":""1060508""}",{},
thread_1058649,,CAT_NVLINK,1058649,,1058649,1058649,,,,,,,"{""index"":""1058649""}",{},
thread_1058802,,CAT_NVLINK,1058802,,1058802,1058802,,,,,,,"{""index"":""1058802""}",{},
thread_1058827,,CAT_NVLINK,1058827,,1058827,1058827,,,,,,,"{""index"":""1058827""}",{},
thread_1058836,,CAT_NVLINK,1058836,,1058836,1058836,,,,,,,"{""index"":""1058836""}",{},
thread_1060494,,CAT_NVLINK,1060494,,1060494,1060494,,,,,,,"{""index"":""1060494""}",{},
thread_1060504,,CAT_NVLINK,1060504,,1060504,1060504,,,,,,,"{""index"":""1060504""}",{},
thread_1065016,,CAT_NVLINK,1065016,,1065016,1065016,,,,,,,"{""index"":""1065016""}",{},
thread_1058798,,CAT_NVLINK,1058798,,1058798,1058798,,,,,,,"{""index"":""1058798""}",{},
thread_1058829,,CAT_NVLINK,1058829,,1058829,1058829,,,,,,,"{""index"":""1058829""}",{},
thread_1058833,,CAT_NVLINK,1058833,,1058833,1058833,,,,,,,"{""index"":""1058833""}",{},
thread_1059816,,CAT_NVLINK,1059816,,1059816,1059816,,,,,,,"{""index"":""1059816""}",{},
thread_1059825,,CAT_NVLINK,1059825,,1059825,1059825,,,,,,,"{""index"":""1059825""}",{},
thread_1060496,,CAT_NVLINK,1060496,,1060496,1060496,,,,,,,"{""index"":""1060496""}",{},
thread_1060503,,CAT_NVLINK,1060503,,1060503,1060503,,,,,,,"{""index"":""1060503""}",{},
thread_1058828,,CAT_NVLINK,1058828,,1058828,1058828,,,,,,,"{""index"":""1058828""}",{},
thread_1058817,,CAT_NVLINK,1058817,,1058817,1058817,,,,,,,"{""index"":""1058817""}",{},
thread_1058824,,CAT_NVLINK,1058824,,1058824,1058824,,,,,,,"{""index"":""1058824""}",{},
thread_1059788,,CAT_NVLINK,1059788,,1059788,1059788,,,,,,,"{""index"":""1059788""}",{},
thread_1059973,,CAT_NVLINK,1059973,,1059973,1059973,,,,,,,"{""index"":""1059973""}",{},
thread_1058811,,CAT_NVLINK,1058811,,1058811,1058811,,,,,,,"{""index"":""1058811""}",{},
thread_1059795,,CAT_NVLINK,1059795,,1059795,1059795,,,,,,,"{""index"":""1059795""}",{},
thread_1115270,,CAT_NVLINK,1115270,,1115270,1115270,,,,,,,"{""index"":""1115270""}",{},
thread_1059775,,CAT_NVLINK,1059775,,1059775,1059775,,,,,,,"{""index"":""1059775""}",{},
thread_1059836,,CAT_NVLINK,1059836,,1059836,1059836,,,,,,,"{""index"":""1059836""}",{},
thread_1060492,,CAT_NVLINK,1060492,,1060492,1060492,,,,,,,"{""index"":""1060492""}",{},
thread_1060498,,CAT_NVLINK,1060498,,1060498,1060498,,,,,,,"{""index"":""1060498""}",{},
thread_1060506,,CAT_NVLINK,1060506,,1060506,1060506,,,,,,,"{""index"":""1060506""}",{},
thread_1058819,,CAT_NVLINK,1058819,,1058819,1058819,,,,,,,"{""index"":""1058819""}",{},
thread_1058843,,CAT_NVLINK,1058843,,1058843,1058843,,,,,,,"{""index"":""1058843""}",{},
thread_1058797,,CAT_NVLINK,1058797,,1058797,1058797,,,,,,,"{""index"":""1058797""}",{},
thread_1058818,,CAT_NVLINK,1058818,,1058818,1058818,,,,,,,"{""index"":""1058818""}",{},
thread_1059783,,CAT_NVLINK,1059783,,1059783,1059783,,,,,,,"{""index"":""1059783""}",{},
thread_1060491,,CAT_NVLINK,1060491,,1060491,1060491,,,,,,,"{""index"":""1060491""}",{},
thread_1060501,,CAT_NVLINK,1060501,,1060501,1060501,,,,,,,"{""index"":""1060501""}",{},
thread_1058814,,CAT_NVLINK,1058814,,1058814,1058814,,,,,,,"{""index"":""1058814""}",{},
thread_1058830,,CAT_NVLINK,1058830,,1058830,1058830,,,,,,,"{""index"":""1058830""}",{},
thread_1058831,,CAT_NVLINK,1058831,,1058831,1058831,,,,,,,"{""index"":""1058831""}",{},
thread_1058834,,CAT_NVLINK,1058834,,1058834,1058834,,,,,,,"{""index"":""1058834""}",{},
thread_1059801,,CAT_NVLINK,1059801,,1059801,1059801,,,,,,,"{""index"":""1059801""}",{},
thread_1059820,,CAT_NVLINK,1059820,,1059820,1059820,,,,,,,"{""index"":""1059820""}",{},
