Function Name,Metric Name,Device,Suspicion Score,β_normal(%),β_abnormal(%),Δβ(%),Z-Score(β),p-value(β),U-test p(β),μ_normal,μ_abnormal,Δμ,Z-Score(μ),Z-Score(log_μ),p-value(μ),U-test p(μ)
oncpu,cpu_frequency,Host,32026.823520,163.890300,192.847057,28.956757,45.905175,0.012955,0.000311,87.495000,77.208600,-10.286400,-997.317444,-1060.117277,0.000000,0.000311
oncpu,host_cpu_usage,Host,2821.760918,163.890300,192.847057,28.956757,45.905175,0.012955,0.000311,6.360875,56.499400,50.138525,169.662816,51.542233,0.000000,0.000311
oncpu,process_cpu_usage,Host,2020.379350,163.840338,192.847057,29.006720,39.334748,0.012856,0.000311,1.683637,2.785257,1.101620,36.186569,30.317367,0.000000,0.000311
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_occupancy,GPU 7,58.529324,3.205729,1.490667,-1.715062,-34.092375,0.000000,0.001166,0.026714,0.028000,0.001286,0.035318,0.034278,0.952245,0.124464
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_util,GPU 7,58.497673,3.205729,1.490667,-1.715062,-34.092375,0.000000,0.001166,0.264286,0.275000,0.010714,0.029834,0.015824,0.959876,0.121199
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_transmit,GPU 7,58.470534,3.205729,1.490667,-1.715062,-34.092375,0.000000,0.001166,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_receive,GPU 7,58.470534,3.205729,1.490667,-1.715062,-34.092375,0.000000,0.001166,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_usage,GPU 7,42.338592,3.166757,1.490667,-1.676090,-11.576857,0.000000,0.001166,7.142857,3.500000,-3.642857,-9.638094,-13.683469,0.000031,0.001758
runq,host_cpu_usage,Host,41.209150,7.023900,7.788843,0.764943,2.329285,0.008304,0.020513,6.360875,56.500943,50.140068,169.668037,51.542910,0.000000,0.000311
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_occupancy,GPU 7,40.469841,2.218757,1.029883,-1.188874,-34.006207,0.000000,0.001166,0.026714,0.028000,0.001286,0.035318,0.034278,0.952245,0.124464
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_util,GPU 7,40.447826,2.218757,1.029883,-1.188874,-34.006207,0.000000,0.001166,0.264286,0.274983,0.010698,0.029787,0.015761,0.959939,0.121744
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_receive,GPU 7,40.429089,2.218757,1.029883,-1.188874,-34.006207,0.000000,0.001166,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_transmit,GPU 7,40.429089,2.218757,1.029883,-1.188874,-34.006207,0.000000,0.001166,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_usage,GPU 7,29.493694,2.192529,1.029883,-1.162645,-11.684281,0.000000,0.001166,7.142857,3.500000,-3.642857,-9.638094,-13.683469,0.000031,0.001758
runq,process_cpu_usage,Host,23.397792,7.061125,7.788843,0.727718,1.834919,0.012662,0.020513,1.683637,2.785257,1.101620,36.186569,30.317367,0.000000,0.000311
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_frequency,GPU 7,20.037362,3.166757,1.490667,-1.676090,-11.576857,0.000000,0.001166,119142.857143,115500.000000,-3642.857143,-0.377964,-0.377964,0.355918,0.440401
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_frequency,GPU 7,20.037362,3.166757,1.490667,-1.676090,-11.576857,0.000000,0.001166,119142.857143,115500.000000,-3642.857143,-0.377964,-0.377964,0.355918,0.440401
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_mem_used,GPU 7,19.403860,3.166757,1.490667,-1.676090,-11.576857,0.000000,0.001166,85.704900,85.705000,0.000100,0.000000,0.000000,0.000000,0.000721
