Function Name,Metric Name,Device,Suspicion Score,β_normal_pid_805580(%),β_abnormal_pid_842126(%),Δβ(%),Z-Score(β),p-value(β),U-test p(β),μ_normal_pid_805580,μ_abnormal_pid_842126,Δμ,Z-Score(μ),Z-Score(log_μ),p-value(μ),U-test p(μ)
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,process_gpu_usage,GPU 7,234.435354,3.207512,0.846786,-2.360727,-80.777079,0.000000,0.000311,7.250000,2.000000,-5.250000,-11.341296,-18.529353,0.000000,0.000499
oncpu,cpu_frequency,Host,177.763586,162.779678,156.416767,-6.362911,-8.310912,0.285183,0.331387,85.703311,22.499300,-63.204011,-11.861216,-19.626550,0.000000,0.000398
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,process_gpu_usage,GPU 7,157.572569,2.220087,0.611557,-1.608530,-79.431228,0.000000,0.000311,7.250000,2.000000,-5.250000,-11.341296,-18.529353,0.000000,0.000499
oncpu,process_cpu_usage,Host,62.623294,162.871650,156.583144,-6.288506,-8.944461,0.285642,0.059235,1.642550,1.623422,-0.019128,-1.010334,-1.013914,0.054257,0.074455
oncpu,host_cpu_usage,Host,61.097679,162.779678,156.416767,-6.362911,-8.310912,0.285183,0.331387,5.842889,7.033778,1.190889,1.331828,1.291247,0.016264,0.027275
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,process_gpu_usage,GPU 7,43.622881,0.680075,0.188157,-0.491918,-70.149844,0.000000,0.000311,7.250000,2.000000,-5.250000,-11.341296,-18.529353,0.000000,0.000499
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_usage,GPU 7,32.747214,2.845775,0.865171,-1.980604,-1.981748,0.000801,0.013986,7.000000,2.000000,-5.000000,-9.354143,-14.552209,0.000000,0.000506
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_usage,GPU 7,22.843703,1.958750,0.571886,-1.386864,-1.919268,0.000770,0.009324,7.000000,2.000000,-5.000000,-9.354143,-14.552209,0.000000,0.000506
"void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)0, 16u, 1u, 2u, 8u, 8u, 1u, 4u, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<false, false, false, false> >, PagedParams>(PagedParams)",process_gpu_usage,GPU 7,9.992078,0.215350,0.059014,-0.156336,-45.384887,0.000000,0.000311,7.250000,2.000000,-5.250000,-11.341296,-18.529353,0.000000,0.000499
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",process_gpu_usage,GPU 7,7.607717,0.173788,0.048043,-0.125745,-41.971965,0.000000,0.001446,7.250000,2.000000,-5.250000,-11.341296,-18.529353,0.000000,0.000499
