Function Name,Metric Name,Device,Suspicion Score,β_normal(%),β_abnormal(%),Δβ(%),Z-Score(β),p-value(β),U-test p(β),μ_normal,μ_abnormal,Δμ,Z-Score(μ),Z-Score(log_μ),p-value(μ),U-test p(μ)
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,process_gpu_usage,GPU 7,1561.718264,2.712357,8.620771,5.908414,246.524521,0.000002,0.000583,6.324800,21.571429,15.246629,32.305954,17.796528,0.000002,0.001732
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,process_gpu_usage,GPU 7,1391.029585,1.875629,6.557886,4.682257,279.302295,0.000002,0.000583,6.320243,21.571429,15.251186,32.265685,17.782966,0.000002,0.001732
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,process_gpu_usage,GPU 7,470.955163,0.575100,2.069486,1.494386,297.374244,0.000002,0.000583,6.318671,21.571429,15.252757,32.246986,17.775424,0.000002,0.001732
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_frequency,GPU 7,225.459514,2.556100,8.429457,5.873357,13.863140,0.000000,0.000311,118687.500000,21000.000000,-97687.500000,-10.835372,-24.523681,0.000000,0.000373
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_frequency,GPU 7,225.459514,2.556100,8.429457,5.873357,13.863140,0.000000,0.000311,118687.500000,21000.000000,-97687.500000,-10.835372,-24.523681,0.000000,0.000373
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_frequency,GPU 7,186.108387,1.766350,6.407343,4.640993,15.577304,0.000000,0.000311,118687.500000,21000.000000,-97687.500000,-10.835372,-24.523681,0.000000,0.000373
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_frequency,GPU 7,186.108387,1.766350,6.407343,4.640993,15.577304,0.000000,0.000311,118687.500000,21000.000000,-97687.500000,-10.835372,-24.523681,0.000000,0.000373
"void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)0, 16u, 1u, 2u, 8u, 8u, 1u, 4u, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<false, false, false, false> >, PagedParams>(PagedParams)",process_gpu_usage,GPU 7,133.555199,0.177586,0.640286,0.462700,270.863053,0.000002,0.000583,6.319614,21.571429,15.251814,32.258500,17.780126,0.000002,0.001732
"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &(float silu<float>(float const&))>(__nv_bfloat16*, __nv_bfloat16 const*, int)",process_gpu_usage,GPU 7,106.727456,0.115514,0.450371,0.334857,300.941818,0.000001,0.000583,6.320371,21.571429,15.251057,32.267106,17.783518,0.000002,0.001732
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_util,GPU 7,90.813297,2.566533,8.411900,5.845367,14.731473,0.000000,0.000175,0.209889,0.426857,0.216968,0.804992,0.804472,0.179997,0.086072
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_occupancy,GPU 7,90.515830,2.566533,8.411900,5.845367,14.731473,0.000000,0.000175,0.021556,0.042000,0.020444,0.753067,0.753583,0.199506,0.080381
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",process_gpu_usage,GPU 7,86.320749,0.147914,0.478171,0.330257,243.594913,0.000002,0.000583,6.319471,21.571429,15.251957,32.256812,17.779447,0.000002,0.001732
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_receive,GPU 7,86.110863,2.566533,8.411900,5.845367,14.731473,0.000000,0.000175,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_transmit,GPU 7,86.110863,2.566533,8.411900,5.845367,14.731473,0.000000,0.000175,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_mem_used,GPU 7,81.423174,2.556100,8.429457,5.873357,13.863140,0.000000,0.000311,85.704900,85.704900,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_mem_frequency,GPU 7,81.423174,2.556100,8.429457,5.873357,13.863140,0.000000,0.000311,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_usage,GPU 7,81.423174,2.556100,8.429457,5.873357,13.863140,0.000000,0.000311,6.000000,21.428571,15.428571,0.000000,0.000000,0.000003,0.000520
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_util,GPU 7,80.196279,1.773778,6.393814,4.620037,16.553893,0.000000,0.000175,0.209889,0.426857,0.216968,0.804992,0.804472,0.179997,0.086072
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_occupancy,GPU 7,79.961169,1.773778,6.393814,4.620037,16.553893,0.000000,0.000175,0.021556,0.042000,0.020444,0.753067,0.753583,0.199506,0.080381
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_receive,GPU 7,76.479589,1.773778,6.393814,4.620037,16.553893,0.000000,0.000175,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_transmit,GPU 7,76.479589,1.773778,6.393814,4.620037,16.553893,0.000000,0.000175,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_usage,GPU 7,72.294156,1.766350,6.407343,4.640993,15.577304,0.000000,0.000311,6.000000,21.428571,15.428571,0.000000,0.000000,0.000003,0.000520
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_mem_frequency,GPU 7,72.294156,1.766350,6.407343,4.640993,15.577304,0.000000,0.000311,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_mem_used,GPU 7,72.294156,1.766350,6.407343,4.640993,15.577304,0.000000,0.000311,85.704900,85.704900,0.000000,0.000000,0.000000,,1.000000
"void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",process_gpu_usage,GPU 7,71.996987,0.123314,0.390943,0.267629,251.234977,0.000002,0.000583,6.320329,21.571429,15.251100,32.266634,17.783335,0.000002,0.001732
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_sm_frequency,GPU 7,59.724666,0.540525,2.022200,1.481675,15.785203,0.000000,0.000311,118687.500000,21000.000000,-97687.500000,-10.835372,-24.523681,0.000000,0.000373
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_frequency,GPU 7,59.724666,0.540525,2.022200,1.481675,15.785203,0.000000,0.000311,118687.500000,21000.000000,-97687.500000,-10.835372,-24.523681,0.000000,0.000373
oncpu,process_cpu_usage,Host,48.337405,160.066411,157.809888,-2.256524,-2.053533,0.318334,0.962567,1.750133,2.723300,0.973167,22.622349,19.367650,0.000000,0.000082
"void flashinfer::norm::RMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",process_gpu_usage,GPU 7,44.801343,0.101129,0.286086,0.184957,224.450715,0.000003,0.000583,6.318557,21.571429,15.252871,32.245531,17.774818,0.000002,0.001732
"void flashinfer::PersistentVariableLengthMergeStatesKernel<8u, 16u, 8u, 4u, __nv_bfloat16, __nv_bfloat16, int>(__nv_bfloat16*, float*, int*, __nv_bfloat16*, float*, unsigned int, unsigned int*, unsigned int)",process_gpu_usage,GPU 7,34.706798,0.061400,0.206543,0.145143,221.340782,0.000002,0.000583,6.319771,21.571429,15.251657,32.260333,17.780858,0.000002,0.001732
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_sm_util,GPU 7,25.734860,0.543033,2.013000,1.469967,16.702633,0.000000,0.000175,0.209889,0.426857,0.216968,0.804992,0.804472,0.179997,0.086072
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_sm_occupancy,GPU 7,25.660055,0.543033,2.013000,1.469967,16.702633,0.000000,0.000175,0.021556,0.042000,0.020444,0.753067,0.753583,0.199506,0.080381
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_link_transmit,GPU 7,24.552313,0.543033,2.013000,1.469967,16.702633,0.000000,0.000175,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_link_receive,GPU 7,24.552313,0.543033,2.013000,1.469967,16.702633,0.000000,0.000175,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_mem_used,GPU 7,23.388540,0.540525,2.022200,1.481675,15.785203,0.000000,0.000311,85.704900,85.704900,0.000000,0.000000,0.000000,,1.000000
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_usage,GPU 7,23.388540,0.540525,2.022200,1.481675,15.785203,0.000000,0.000311,6.000000,21.428571,15.428571,0.000000,0.000000,0.000003,0.000520
ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn,gpu_mem_frequency,GPU 7,23.388540,0.540525,2.022200,1.481675,15.785203,0.000000,0.000311,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",process_gpu_usage,GPU 7,22.787529,0.015214,0.071850,0.056636,386.895584,0.000015,0.002591,6.428571,21.500000,15.071429,28.196061,15.457062,0.000028,0.002629
"void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)0, 16u, 1u, 2u, 8u, 8u, 1u, 4u, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<false, false, false, false> >, PagedParams>(PagedParams)",gpu_frequency,GPU 7,18.362083,0.166712,0.626886,0.460173,15.378864,0.000000,0.000311,118687.500000,21000.000000,-97687.500000,-10.835372,-24.523681,0.000000,0.000373
"void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)0, 16u, 1u, 2u, 8u, 8u, 1u, 4u, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<false, false, false, false> >, PagedParams>(PagedParams)",gpu_sm_frequency,GPU 7,18.362083,0.166712,0.626886,0.460173,15.378864,0.000000,0.000311,118687.500000,21000.000000,-97687.500000,-10.835372,-24.523681,0.000000,0.000373
"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",gpu_sm_util,GPU 7,16.773089,0.015133,0.072067,0.056933,294.002469,0.000016,0.001609,0.209889,0.369000,0.159111,0.590331,0.606820,0.333908,0.135365
"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",gpu_sm_occupancy,GPU 7,16.769661,0.015133,0.072067,0.056933,294.002469,0.000016,0.001609,0.021556,0.036333,0.014778,0.544336,0.546612,0.362178,0.126691
"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",gpu_link_transmit,GPU 7,16.738541,0.015133,0.072067,0.056933,294.002469,0.000016,0.001609,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",gpu_link_receive,GPU 7,16.738541,0.015133,0.072067,0.056933,294.002469,0.000016,0.001609,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",gpu_frequency,GPU 7,14.553113,0.015163,0.071900,0.056738,231.975332,0.000015,0.002335,118687.500000,21000.000000,-97687.500000,-10.835372,-24.523681,0.000000,0.000694
"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",gpu_sm_frequency,GPU 7,14.553113,0.015163,0.071900,0.056738,231.975332,0.000015,0.002335,118687.500000,21000.000000,-97687.500000,-10.835372,-24.523681,0.000000,0.000694
"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &(float silu<float>(float const&))>(__nv_bfloat16*, __nv_bfloat16 const*, int)",gpu_sm_frequency,GPU 7,13.825131,0.108500,0.439129,0.330629,17.291008,0.000000,0.000311,118687.500000,21000.000000,-97687.500000,-10.835372,-24.523681,0.000000,0.000373
"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &(float silu<float>(float const&))>(__nv_bfloat16*, __nv_bfloat16 const*, int)",gpu_frequency,GPU 7,13.825131,0.108500,0.439129,0.330629,17.291008,0.000000,0.000311,118687.500000,21000.000000,-97687.500000,-10.835372,-24.523681,0.000000,0.000373
runq,process_cpu_usage,Host,13.655765,7.534278,6.888075,-0.646203,-1.764672,0.002086,0.003702,1.750133,2.723300,0.973167,22.622349,19.367650,0.000000,0.000082
"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",gpu_mem_used,GPU 7,13.161700,0.015163,0.071900,0.056738,231.975332,0.000015,0.002335,85.704900,85.704900,0.000000,0.000000,0.000000,,1.000000
"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",gpu_mem_frequency,GPU 7,13.161700,0.015163,0.071900,0.056738,231.975332,0.000015,0.002335,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
"void at::native::(anonymous namespace)::cunn_SoftMaxForward<4, float, float, float, at::native::(anonymous namespace)::SoftMaxForwardEpilogue>(float*, float const*, int)",gpu_usage,GPU 7,13.161700,0.015163,0.071900,0.056738,231.975332,0.000015,0.002335,6.000000,21.333333,15.333333,0.000000,0.000000,0.000037,0.000730
