Function Name,Metric Name,Device,Suspicion Score,β_normal(%),β_abnormal(%),Δβ(%),Z-Score(β),p-value(β),U-test p(β),μ_normal,μ_abnormal,Δμ,Z-Score(μ),Z-Score(log_μ),p-value(μ),U-test p(μ)
"void sglang::cross_device_reduce_1stage<__nv_bfloat16, 2>(sglang::RankData*, sglang::RankSignals, sglang::Signal*, __nv_bfloat16*, int, int)",gpu_link_receive,GPU 7,3695.467328,92.923260,0.171357,-92.751903,-32.615506,0.000000,0.002525,1336418860.000000,24867202484509.464844,24865866065649.464844,13941.971424,7.226991,0.000000,0.005597
"void sglang::cross_device_reduce_1stage<__nv_bfloat16, 2>(sglang::RankData*, sglang::RankSignals, sglang::Signal*, __nv_bfloat16*, int, int)",gpu_link_transmit,GPU 7,3695.465902,92.923260,0.171357,-92.751903,-32.615506,0.000000,0.002525,1336419760.000000,24866769374588.722656,24865432954828.722656,13941.726934,7.226975,0.000000,0.005681
"void sglang::cross_device_reduce_1stage<__nv_bfloat16, 2>(sglang::RankData*, sglang::RankSignals, sglang::Signal*, __nv_bfloat16*, int, int)",gpu_sm_util,GPU 7,3097.198216,92.923260,0.171357,-92.751903,-32.615506,0.000000,0.002525,0.116600,0.284286,0.167686,0.858457,0.776782,0.296783,0.740014
"void sglang::cross_device_reduce_1stage<__nv_bfloat16, 2>(sglang::RankData*, sglang::RankSignals, sglang::Signal*, __nv_bfloat16*, int, int)",gpu_sm_occupancy,GPU 7,3094.678888,92.923260,0.171357,-92.751903,-32.615506,0.000000,0.002525,0.013400,0.026857,0.013457,0.761495,0.749620,0.364176,0.738165
"void sglang::cross_device_reduce_1stage<__nv_bfloat16, 2>(sglang::RankData*, sglang::RankSignals, sglang::Signal*, __nv_bfloat16*, int, int)",gpu_usage,GPU 7,3066.630111,92.923260,0.171357,-92.751903,-32.615506,0.000000,0.002525,97.916880,100.000000,2.083120,0.447214,0.447214,0.373901,0.310494
"void sglang::cross_device_reduce_1stage<__nv_bfloat16, 2>(sglang::RankData*, sglang::RankSignals, sglang::Signal*, __nv_bfloat16*, int, int)",process_gpu_usage,GPU 7,3066.630111,92.923260,0.171357,-92.751903,-32.615506,0.000000,0.002525,97.835160,100.000000,2.164840,0.447214,0.447214,0.373901,0.310494
"void sglang::cross_device_reduce_1stage<__nv_bfloat16, 2>(sglang::RankData*, sglang::RankSignals, sglang::Signal*, __nv_bfloat16*, int, int)",gpu_mem_frequency,GPU 7,3025.150199,92.923260,0.171357,-92.751903,-32.615506,0.000000,0.002525,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
"void sglang::cross_device_reduce_1stage<__nv_bfloat16, 2>(sglang::RankData*, sglang::RankSignals, sglang::Signal*, __nv_bfloat16*, int, int)",gpu_frequency,GPU 7,3025.150199,92.923260,0.171357,-92.751903,-32.615506,0.000000,0.002525,141000.000000,141000.000000,0.000000,0.000000,0.000000,,1.000000
"void sglang::cross_device_reduce_1stage<__nv_bfloat16, 2>(sglang::RankData*, sglang::RankSignals, sglang::Signal*, __nv_bfloat16*, int, int)",gpu_sm_frequency,GPU 7,3025.150199,92.923260,0.171357,-92.751903,-32.615506,0.000000,0.002525,141000.000000,141000.000000,0.000000,0.000000,0.000000,,1.000000
"void sglang::cross_device_reduce_1stage<__nv_bfloat16, 2>(sglang::RankData*, sglang::RankSignals, sglang::Signal*, __nv_bfloat16*, int, int)",gpu_mem_used,GPU 7,3025.150199,92.923260,0.171357,-92.751903,-32.615506,0.000000,0.002525,86.351900,96.866500,10.514600,0.000000,0.000000,0.000000,0.001274
oncpu,process_cpu_usage,Host,685.361157,126.570500,148.653686,22.083186,4.005808,0.000172,0.001166,1.481733,2.339529,0.857795,31.464487,27.029622,0.000000,0.001166
oncpu,cpu_frequency,Host,160.884122,126.570500,148.653686,22.083186,4.005808,0.000172,0.001166,87.500433,87.502929,0.002495,3.280181,3.279560,0.518713,0.827981
oncpu,host_cpu_usage,Host,100.399445,126.570500,148.653686,22.083186,4.005808,0.000172,0.001166,8.387267,8.945786,0.558519,0.547412,0.540612,0.281760,0.628205
runq,process_cpu_usage,Host,21.691605,5.122317,5.816543,0.694226,4.178671,0.000012,0.001166,1.481883,2.339543,0.857660,31.505854,27.067061,0.000000,0.001166
