Function Name,Metric Name,Device,Suspicion Score,β_normal(%),β_abnormal(%),Δβ(%),Z-Score(β),p-value(β),U-test p(β),μ_normal,μ_abnormal,Δμ,Z-Score(μ),Z-Score(log_μ),p-value(μ),U-test p(μ)
"void sglang::cross_device_reduce_1stage<__nv_bfloat16, 2>(sglang::RankData*, sglang::RankSignals, sglang::Signal*, __nv_bfloat16*, int, int)",gpu_usage,GPU 6,92878.510665,0.093771,43.517000,43.423229,2107.619831,0.047380,0.000583,2.196971,100.000000,97.803029,256.562563,31.293228,0.000000,0.000779
"void sglang::cross_device_reduce_1stage<__nv_bfloat16, 2>(sglang::RankData*, sglang::RankSignals, sglang::Signal*, __nv_bfloat16*, int, int)",gpu_sm_frequency,GPU 6,91618.132302,0.093771,43.517000,43.423229,2107.619831,0.047380,0.000583,119142.857143,141000.000000,21857.142857,2.267787,2.267787,0.000965,0.002303
"void sglang::cross_device_reduce_1stage<__nv_bfloat16, 2>(sglang::RankData*, sglang::RankSignals, sglang::Signal*, __nv_bfloat16*, int, int)",gpu_frequency,GPU 6,91618.132302,0.093771,43.517000,43.423229,2107.619831,0.047380,0.000583,119142.857143,141000.000000,21857.142857,2.267787,2.267787,0.000965,0.002303
"void sglang::cross_device_reduce_1stage<__nv_bfloat16, 2>(sglang::RankData*, sglang::RankSignals, sglang::Signal*, __nv_bfloat16*, int, int)",gpu_sm_occupancy,GPU 6,91544.670189,0.093771,43.517000,43.423229,2107.619831,0.047380,0.000583,0.012500,0.022714,0.010214,0.577576,0.576017,0.360454,0.193824
"void sglang::cross_device_reduce_1stage<__nv_bfloat16, 2>(sglang::RankData*, sglang::RankSignals, sglang::Signal*, __nv_bfloat16*, int, int)",gpu_sm_util,GPU 6,91540.089319,0.093771,43.517000,43.423229,2107.619831,0.047380,0.000583,0.134543,0.226857,0.092314,0.498049,0.470523,0.446867,0.196849
"void sglang::cross_device_reduce_1stage<__nv_bfloat16, 2>(sglang::RankData*, sglang::RankSignals, sglang::Signal*, __nv_bfloat16*, int, int)",gpu_link_transmit,GPU 6,91528.221641,0.093771,43.517000,43.423229,2107.619831,0.047380,0.000583,878819655.762243,1141508171.428571,262688515.666329,0.185150,0.197221,0.736061,0.247013
"void sglang::cross_device_reduce_1stage<__nv_bfloat16, 2>(sglang::RankData*, sglang::RankSignals, sglang::Signal*, __nv_bfloat16*, int, int)",gpu_link_receive,GPU 6,91528.221510,0.093771,43.517000,43.423229,2107.619831,0.047380,0.000583,878820495.537900,1141507714.285714,262687218.747814,0.185149,0.197218,0.736062,0.247013
"void sglang::cross_device_reduce_1stage<__nv_bfloat16, 2>(sglang::RankData*, sglang::RankSignals, sglang::Signal*, __nv_bfloat16*, int, int)",gpu_mem_frequency,GPU 6,91519.657676,0.093771,43.517000,43.423229,2107.619831,0.047380,0.000583,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
"void sglang::cross_device_reduce_1stage<__nv_bfloat16, 2>(sglang::RankData*, sglang::RankSignals, sglang::Signal*, __nv_bfloat16*, int, int)",gpu_mem_used,GPU 6,91519.657676,0.093771,43.517000,43.423229,2107.619831,0.047380,0.000583,85.668300,96.221900,10.553600,0.000000,0.000000,0.000000,0.000412
"void sglang::cross_device_reduce_1stage<__nv_bfloat16, 2>(sglang::RankData*, sglang::RankSignals, sglang::Signal*, __nv_bfloat16*, int, int)",process_gpu_usage,GPU 6,85721.413359,0.092650,43.517000,43.424350,1944.301333,0.047376,0.001166,2.216650,100.000000,97.783350,243.197522,29.738885,0.000000,0.001209
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),gpu_usage,GPU 6,278.905933,0.004400,0.169814,0.165414,1654.142857,0.073659,0.001884,2.142857,100.000000,97.857143,258.905664,31.962620,0.000000,0.000607
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),gpu_sm_occupancy,GPU 6,273.725150,0.004400,0.169814,0.165414,1654.142857,0.073659,0.001884,0.011000,0.022714,0.011714,0.642905,0.642573,0.302255,0.065750
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),gpu_sm_util,GPU 6,273.709823,0.004400,0.169814,0.165414,1654.142857,0.073659,0.001884,0.118857,0.226857,0.108000,0.565524,0.549915,0.380595,0.068898
ncclDevKernel_AllGather_RING_LL(ncclDevKernelArgsStorage<4096ul>),process_gpu_usage,GPU 6,254.663934,0.004400,0.169814,0.165414,1510.018927,0.073659,0.003147,2.166667,100.000000,97.833333,239.641747,29.533314,0.000000,0.000993
oncpu,process_cpu_usage,Host,153.230104,151.388229,157.093914,5.705686,8.612972,0.296571,0.208625,1.696214,2.595271,0.899057,21.149750,18.242714,0.000000,0.000583
oncpu,host_cpu_usage,Host,85.469805,151.388229,157.093914,5.705686,8.612972,0.296571,0.208625,7.060400,8.585829,1.525429,7.092124,6.366788,0.001973,0.000583
oncpu,cpu_frequency,Host,63.529066,151.388229,157.093914,5.705686,8.612972,0.296571,0.208625,87.500529,87.498386,-0.002143,-2.521216,-2.521372,0.283555,0.300768
write,disk_usage,Host,9.798170,27.370900,29.119114,1.748214,4.866256,0.142805,0.208625,67.006329,59.449300,-7.557029,-0.728050,-0.738417,0.147108,0.128205
runq,process_cpu_usage,Host,8.303686,6.107414,5.700471,-0.406943,-2.159952,0.079150,0.072844,1.696229,2.595257,0.899029,21.152546,18.245090,0.000000,0.000583
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_usage,GPU 6,5.992128,0.755600,0.939800,0.184200,1.230073,0.145496,0.026224,2.196843,100.000000,97.803157,256.610966,31.300481,0.000000,0.000779
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,process_gpu_usage,GPU 6,5.956324,0.747417,0.939800,0.192383,1.185238,0.143068,0.034965,2.215300,100.000000,97.784700,243.395775,29.775471,0.000000,0.001209
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,process_gpu_usage,GPU 6,3.862584,0.790817,0.917300,0.126483,0.751933,0.306487,0.038053,2.214883,100.000000,97.785117,243.453727,29.786353,0.000000,0.001209
ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn,gpu_usage,GPU 6,3.780635,0.799443,0.917300,0.117857,0.759185,0.317922,0.029662,2.196514,100.000000,97.803486,256.733854,31.318928,0.000000,0.000779
runq,host_cpu_usage,Host,3.461764,6.107414,5.700471,-0.406943,-2.159952,0.079150,0.072844,7.059371,8.585786,1.526414,7.069312,6.346806,0.001964,0.000583
"void flashinfer::norm::RMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",gpu_usage,GPU 6,1.899470,0.058014,0.111771,0.053757,4.127908,0.002239,0.017483,2.198486,100.000000,97.801514,255.979256,31.206370,0.000000,0.000779
"void flashinfer::norm::RMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",process_gpu_usage,GPU 6,1.827474,0.057333,0.111771,0.054438,3.853030,0.002085,0.022145,2.217433,100.000000,97.782567,243.075172,29.716738,0.000000,0.001209
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",gpu_usage,GPU 6,1.765247,0.074329,0.125743,0.051414,3.064055,0.005914,0.021308,2.197386,100.000000,97.802614,256.405398,31.269726,0.000000,0.000779
"void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",gpu_usage,GPU 6,1.763305,0.066614,0.117371,0.050757,3.411532,0.004293,0.017483,2.196343,100.000000,97.803657,256.797508,31.328502,0.000000,0.000779
"void at::native::index_elementwise_kernel<128, 4, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1}>(long, at::native::gpu_index_kernel<at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1}>(at::TensorIteratorBase&, c10::ArrayRef<long>, c10::ArrayRef<long>, at::native::index_put_kernel_impl<at::native::OpaqueType<2> >(at::TensorIterator&, c10::ArrayRef<long>, c10::ArrayRef<long>)::{lambda(char*, char const*, long)#1} const&, bool)::{lambda(int)#1})",process_gpu_usage,GPU 6,1.705870,0.073467,0.125743,0.052276,2.870609,0.005860,0.026600,2.215833,100.000000,97.784167,243.319364,29.761258,0.000000,0.001209
"void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)",process_gpu_usage,GPU 6,1.699118,0.065850,0.117371,0.051521,3.190790,0.004159,0.022145,2.214817,100.000000,97.785183,243.462857,29.788076,0.000000,0.001209
"void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)0, 16u, 1u, 2u, 8u, 8u, 1u, 4u, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<false, false, false, false> >, PagedParams>(PagedParams)",gpu_usage,GPU 6,1.107085,0.074629,0.107886,0.033257,2.002695,0.035597,0.017483,2.197100,100.000000,97.802900,256.513984,31.285956,0.000000,0.000779
"void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)0, 16u, 1u, 2u, 8u, 8u, 1u, 4u, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, int, flashinfer::DefaultAttention<false, false, false, false> >, PagedParams>(PagedParams)",process_gpu_usage,GPU 6,1.079752,0.073783,0.107886,0.034102,1.891899,0.035955,0.022145,2.215500,100.000000,97.784500,243.367414,29.770178,0.000000,0.001209
"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel<false, 128u, 8u, 16u, __nv_bfloat16, long>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, float*, long*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",gpu_usage,GPU 6,0.931416,0.025386,0.051371,0.025986,4.569592,0.002084,0.021165,2.197314,100.000000,97.802686,256.432626,31.273793,0.000000,0.000779
"void flashinfer::PersistentVariableLengthMergeStatesKernel<8u, 16u, 8u, 4u, __nv_bfloat16, __nv_bfloat16, int>(__nv_bfloat16*, float*, int*, __nv_bfloat16*, float*, unsigned int, unsigned int*, unsigned int)",gpu_usage,GPU 6,0.896023,0.033271,0.059086,0.025814,3.426838,0.004377,0.021308,2.197143,100.000000,97.802857,256.497752,31.283527,0.000000,0.000779
"void flashinfer::BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel<false, 128u, 8u, 16u, __nv_bfloat16, long>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, float*, long*, unsigned int, unsigned int, unsigned int, unsigned int, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long, unsigned long)",process_gpu_usage,GPU 6,0.893468,0.025100,0.051371,0.026271,4.255075,0.001911,0.026392,2.216100,100.000000,97.783900,243.280222,29.754034,0.000000,0.001209
"void flashinfer::PersistentVariableLengthMergeStatesKernel<8u, 16u, 8u, 4u, __nv_bfloat16, __nv_bfloat16, int>(__nv_bfloat16*, float*, int*, __nv_bfloat16*, float*, unsigned int, unsigned int*, unsigned int)",process_gpu_usage,GPU 6,0.863929,0.032883,0.059086,0.026202,3.205207,0.004231,0.026600,2.215650,100.000000,97.784350,243.345913,29.766179,0.000000,0.001209
"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &(float silu<float>(float const&))>(__nv_bfloat16*, __nv_bfloat16 const*, int)",gpu_usage,GPU 6,0.787407,0.051943,0.075557,0.023614,2.023202,0.023013,0.017483,2.196471,100.000000,97.803529,256.749797,31.321325,0.000000,0.000779
"void flashinfer::activation::act_and_mul_kernel<__nv_bfloat16, &(float silu<float>(float const&))>(__nv_bfloat16*, __nv_bfloat16 const*, int)",process_gpu_usage,GPU 6,0.766689,0.051367,0.075557,0.024190,1.908334,0.024229,0.022145,2.214917,100.000000,97.785083,243.449147,29.785490,0.000000,0.001209
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_frequency,GPU 6,0.644306,0.755600,0.939800,0.184200,1.230073,0.145496,0.026224,119142.857143,141000.000000,21857.142857,2.267787,2.267787,0.000965,0.002303
ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_frequency,GPU 6,0.644306,0.755600,0.939800,0.184200,1.230073,0.145496,0.026224,119142.857143,141000.000000,21857.142857,2.267787,2.267787,0.000965,0.002303
Memset (Device),gpu_pcie_transmit,GPU 6,0.522041,0.011400,0.038443,0.027043,11.149127,0.000298,0.001711,603872575.220543,790496285357.142822,789892412781.922241,1153.574400,8.155101,0.000002,0.002069
