Function Name,Metric Name,Device,Suspicion Score,β_normal_pid_2300005(%),β_abnormal_pid_2329762(%),Δβ(%),Z-Score(β),p-value(β),U-test p(β),μ_normal_pid_2300005,μ_abnormal_pid_2329762,Δμ,Z-Score(μ),Z-Score(log_μ),p-value(μ),U-test p(μ)
oncpu,cpu_frequency,Host,2468.030957,156.310822,167.373662,11.062840,4.909056,0.116502,0.113945,87.474744,76.971125,-10.503619,-204.991493,-218.182926,0.000000,0.000082
oncpu,host_cpu_usage,Host,505.195630,156.310822,167.373662,11.062840,4.909056,0.116502,0.113945,5.558333,55.978675,50.420342,143.020317,40.756941,0.000000,0.000082
oncpu,process_cpu_usage,Host,208.732858,156.310822,170.607300,14.296478,6.343959,0.106693,0.210490,3.299444,3.209543,-0.089902,-8.171596,-8.256340,0.000000,0.000175
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,process_gpu_usage,GPU 7,86.415196,4.132450,2.093343,-2.039107,-22.837560,0.000000,0.000311,10.875000,5.571429,-5.303571,-15.000765,-19.541378,0.000002,0.000748
runq,host_cpu_usage,Host,81.122709,6.020211,7.797275,1.777064,4.891130,0.000021,0.000082,5.558333,55.984075,50.425742,143.035634,40.758725,0.000000,0.000082
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,process_gpu_usage,GPU 7,58.953820,2.816663,1.425571,-1.391091,-22.838177,0.000000,0.000311,10.875000,5.571429,-5.303571,-15.000765,-19.541378,0.000002,0.000748
"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, false, false, cutlass::half_t, Flash_kernel_traits<128, 64, 128, 4, cutlass::half_t> >, 4, 5, true>(flash::Flash_fwd_params)",gpu_sm_frequency,GPU 7,28.942819,0.166038,0.000000,-0.166038,-8.682752,1.000000,1.000000,118687.500000,0.000000,-118687.500000,-13.164664,-165.632199,1.000000,1.000000
"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, false, false, cutlass::half_t, Flash_kernel_traits<128, 64, 128, 4, cutlass::half_t> >, 4, 5, true>(flash::Flash_fwd_params)",gpu_frequency,GPU 7,28.942819,0.166038,0.000000,-0.166038,-8.682752,1.000000,1.000000,118687.500000,0.000000,-118687.500000,-13.164664,-165.632199,1.000000,1.000000
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_usage,GPU 7,24.684364,3.955687,2.024217,-1.931471,-5.561022,0.000000,0.000666,10.500000,6.074500,-4.425500,-5.854386,-7.219064,0.000010,0.001804
"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, false, false, cutlass::half_t, Flash_kernel_traits<128, 64, 128, 4, cutlass::half_t> >, 4, 5, true>(flash::Flash_fwd_params)",process_gpu_usage,GPU 7,21.831760,0.175262,0.000000,-0.175262,-44.144235,1.000000,1.000000,10.875000,0.000000,-10.875000,-30.759145,-80.421830,1.000000,1.000000
runq,process_cpu_usage,Host,21.141357,6.020211,7.671657,1.651446,4.545384,0.000097,0.000175,3.299444,3.209543,-0.089902,-8.171596,-8.256340,0.000000,0.000175
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,process_gpu_usage,GPU 7,18.112413,0.861225,0.434557,-0.426668,-22.909471,0.000000,0.000311,10.875000,5.571429,-5.303571,-15.000765,-19.541378,0.000002,0.000748
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_usage,GPU 7,16.496426,2.693363,1.379733,-1.313629,-5.329793,0.000000,0.000666,10.500000,6.070533,-4.429467,-5.859634,-7.228109,0.000011,0.001804
