Function Name,Metric Name,Device,Suspicion Score,β_normal_pid_2300005(%),β_abnormal_pid_2329762(%),Δβ(%),Z-Score(β),p-value(β),U-test p(β),μ_normal_pid_2300005,μ_abnormal_pid_2329762,Δμ,Z-Score(μ),Z-Score(log_μ),p-value(μ),U-test p(μ)
oncpu,cpu_frequency,Host,2342.249471,156.310822,157.460150,1.149328,0.510006,0.221660,0.413986,87.480289,22.494700,-64.985589,-1128.854024,-2037.419918,0.000000,0.006851
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,process_gpu_usage,GPU 7,205.715745,4.132450,1.143750,-2.988700,-33.472796,0.000000,0.004040,10.875000,3.000000,-7.875000,-22.273864,-35.358383,0.000000,0.002686
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,process_gpu_usage,GPU 7,139.923532,2.816663,0.781850,-2.034813,-33.406445,0.000000,0.004040,10.875000,3.000000,-7.875000,-22.273864,-35.358383,0.000000,0.002686
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_usage,GPU 7,66.257827,3.955687,1.143750,-2.811937,-8.096030,0.000000,0.004040,10.500000,3.000000,-7.500000,-9.921567,-15.467021,0.000000,0.005304
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_usage,GPU 7,44.390305,2.693363,0.781850,-1.911513,-7.755587,0.000000,0.004040,10.500000,3.000000,-7.500000,-9.921567,-15.467021,0.000000,0.005304
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,process_gpu_usage,GPU 7,42.763680,0.861225,0.239250,-0.621975,-33.396277,0.000000,0.004040,10.875000,3.000000,-7.875000,-22.273864,-35.358383,0.000000,0.002686
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_util,GPU 7,25.515361,3.953512,1.143750,-2.809763,-8.120565,0.000000,0.004040,0.391500,0.067250,-0.324250,-0.943406,-0.960402,0.037147,0.045593
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_occupancy,GPU 7,25.469668,3.953512,1.143750,-2.809763,-8.120565,0.000000,0.004040,0.039500,0.006750,-0.032750,-0.942610,-0.944140,0.036970,0.042449
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_frequency,GPU 7,23.759702,3.955687,1.143750,-2.811937,-8.096030,0.000000,0.004040,118687.500000,115500.000000,-3187.500000,-0.353553,-0.353553,0.350617,0.595883
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_frequency,GPU 7,23.759702,3.955687,1.143750,-2.811937,-8.096030,0.000000,0.004040,118687.500000,115500.000000,-3187.500000,-0.353553,-0.353553,0.350617,0.595883
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_transmit,GPU 7,22.816859,3.953512,1.143750,-2.809763,-8.120565,0.000000,0.004040,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_receive,GPU 7,22.816859,3.953512,1.143750,-2.809763,-8.120565,0.000000,0.004040,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_mem_frequency,GPU 7,22.765532,3.955687,1.143750,-2.811937,-8.096030,0.000000,0.004040,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_mem_used,GPU 7,22.765532,3.955687,1.143750,-2.811937,-8.096030,0.000000,0.004040,90.518500,90.518500,0.000000,0.000000,0.000000,,1.000000
oncpu,process_cpu_usage,Host,17.749253,156.310822,157.460150,1.149328,0.510006,0.221660,0.413986,3.299444,3.138225,-0.161219,-14.654026,-14.933155,0.000000,0.002797
runq,process_cpu_usage,Host,17.618900,6.020211,7.016950,0.996739,2.743390,0.000016,0.002797,3.299444,3.138225,-0.161219,-14.654026,-14.933155,0.000000,0.002797
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_util,GPU 7,16.686426,2.692063,0.781850,-1.910213,-7.774975,0.000000,0.004040,0.391500,0.067250,-0.324250,-0.943406,-0.960402,0.037147,0.045593
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_occupancy,GPU 7,16.655362,2.692063,0.781850,-1.910213,-7.774975,0.000000,0.004040,0.039500,0.006750,-0.032750,-0.942610,-0.944140,0.036970,0.042449
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_frequency,GPU 7,15.500724,2.693363,0.781850,-1.911513,-7.755587,0.000000,0.004040,118687.500000,115500.000000,-3187.500000,-0.353553,-0.353553,0.350617,0.595883
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_frequency,GPU 7,15.500724,2.693363,0.781850,-1.911513,-7.755587,0.000000,0.004040,118687.500000,115500.000000,-3187.500000,-0.353553,-0.353553,0.350617,0.595883
"void vllm::act_and_mul_kernel<c10::Half, &(c10::Half vllm::silu_kernel<c10::Half>(c10::Half const&)), true>(c10::Half*, c10::Half const*, int)",process_gpu_usage,GPU 7,15.251321,0.320663,0.090225,-0.230438,-30.825814,0.000000,0.004040,10.875000,3.000000,-7.875000,-22.273864,-35.358383,0.000000,0.002686
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_transmit,GPU 7,14.851854,2.692063,0.781850,-1.910213,-7.774975,0.000000,0.004040,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_receive,GPU 7,14.851854,2.692063,0.781850,-1.910213,-7.774975,0.000000,0.004040,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_mem_used,GPU 7,14.824902,2.693363,0.781850,-1.911513,-7.755587,0.000000,0.004040,90.518500,90.518500,0.000000,0.000000,0.000000,,1.000000
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_mem_frequency,GPU 7,14.824902,2.693363,0.781850,-1.911513,-7.755587,0.000000,0.004040,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_usage,GPU 7,13.483161,0.823525,0.239250,-0.584275,-7.609717,0.000000,0.004040,10.500000,3.000000,-7.500000,-9.921567,-15.467021,0.000000,0.005304
"void flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, false, false, cutlass::half_t, Flash_kernel_traits<128, 64, 128, 4, cutlass::half_t> >, false, false, false, false, true, false, true, false>(flash::Flash_fwd_params)",process_gpu_usage,GPU 7,12.299140,0.241925,0.068450,-0.173475,-35.540247,0.000000,0.004040,10.875000,3.000000,-7.875000,-22.273864,-35.358383,0.000000,0.002686
"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4>)",process_gpu_usage,GPU 7,10.849621,0.199088,0.054300,-0.144788,-39.576407,0.000000,0.004040,10.875000,3.000000,-7.875000,-22.273864,-35.358383,0.000000,0.002686
"std::enable_if<(((8)>(0)))&&vllm::_typeConvert<c10::Half>::exists, void>::type vllm::fused_add_rms_norm_kernel<c10::Half, 8>(c10::Half*, c10::Half*, c10::Half const*, float, int, int)",process_gpu_usage,GPU 7,9.804648,0.197137,0.055475,-0.141662,-33.852935,0.000000,0.004040,10.875000,3.000000,-7.875000,-22.273864,-35.358383,0.000000,0.002686
"void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1> >(int, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast<1>)",process_gpu_usage,GPU 7,9.267121,0.183688,0.051400,-0.132288,-34.694498,0.000000,0.008360,10.875000,3.000000,-7.875000,-22.273864,-35.358383,0.000000,0.002686
"void flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<128, 64, 128, 4, false, false, cutlass::half_t, Flash_kernel_traits<128, 64, 128, 4, cutlass::half_t> >, 4, 5, true>(flash::Flash_fwd_params)",process_gpu_usage,GPU 7,8.253601,0.175262,0.051300,-0.123962,-31.223049,0.000000,0.004040,10.875000,3.000000,-7.875000,-22.273864,-35.358383,0.000000,0.002686
"void at::native::elementwise_kernel<128, 4, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<c10::Half, c10::Half, c10::Half, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",process_gpu_usage,GPU 7,8.232093,0.166662,0.046800,-0.119862,-33.321089,0.000000,0.004040,10.875000,3.000000,-7.875000,-22.273864,-35.358383,0.000000,0.002686
"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> > const&)::{lambda(int)#1})",process_gpu_usage,GPU 7,7.287249,0.147287,0.041675,-0.105612,-33.641489,0.000000,0.004040,10.875000,3.000000,-7.875000,-22.273864,-35.358383,0.000000,0.002686
runq,host_cpu_usage,Host,5.867366,6.020211,7.016950,0.996739,2.743390,0.000016,0.002797,5.558333,6.740100,1.181767,3.352152,3.143173,0.000003,0.002797
"void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)",process_gpu_usage,GPU 7,5.826043,0.117737,0.032850,-0.084887,-33.274142,0.000000,0.008360,10.875000,3.000000,-7.875000,-22.273864,-35.358383,0.000000,0.002686
"void at::native::vectorized_elementwise_kernel<4, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::(anonymous namespace)::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase&, float)::{lambda(float)#1}, std::array<char*, 2ul>)",process_gpu_usage,GPU 7,5.730132,0.116712,0.033100,-0.083612,-33.173613,0.000000,0.004040,10.875000,3.000000,-7.875000,-22.273864,-35.358383,0.000000,0.002686
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)",process_gpu_usage,GPU 7,5.705395,0.114900,0.032050,-0.082850,-33.505773,0.000000,0.004040,10.875000,3.000000,-7.875000,-22.273864,-35.358383,0.000000,0.002686
"void vllm::rotary_embedding_kernel<c10::Half, true>(long const*, c10::Half*, c10::Half*, c10::Half const*, int, long, long, int, int, int)",process_gpu_usage,GPU 7,5.488330,0.119050,0.032775,-0.086275,-28.255985,0.000000,0.008360,10.875000,3.000000,-7.875000,-22.273864,-35.358383,0.000000,0.002686
"void at::native::vectorized_elementwise_kernel<4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",process_gpu_usage,GPU 7,5.449453,0.113800,0.032525,-0.081275,-31.691175,0.000000,0.008247,10.875000,3.000000,-7.875000,-22.273864,-35.358383,0.000000,0.002686
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_sm_util,GPU 7,5.016194,0.823050,0.239250,-0.583800,-7.631914,0.000000,0.004040,0.391500,0.067250,-0.324250,-0.943406,-0.960402,0.037147,0.045593
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_sm_occupancy,GPU 7,5.006700,0.823050,0.239250,-0.583800,-7.631914,0.000000,0.004040,0.039500,0.006750,-0.032750,-0.942610,-0.944140,0.036970,0.042449
"void vllm::act_and_mul_kernel<c10::Half, &(c10::Half vllm::silu_kernel<c10::Half>(c10::Half const&)), true>(c10::Half*, c10::Half const*, int)",gpu_usage,GPU 7,4.729452,0.305025,0.090225,-0.214800,-6.550914,0.000000,0.004040,10.500000,3.000000,-7.500000,-9.921567,-15.467021,0.000000,0.005304
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_frequency,GPU 7,4.652740,0.823525,0.239250,-0.584275,-7.609717,0.000000,0.004040,118687.500000,115500.000000,-3187.500000,-0.353553,-0.353553,0.350617,0.595883
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_sm_frequency,GPU 7,4.652740,0.823525,0.239250,-0.584275,-7.609717,0.000000,0.004040,118687.500000,115500.000000,-3187.500000,-0.353553,-0.353553,0.350617,0.595883
ampere_fp16_s16816gemm_fp16_64x64_ldg8_f2f_stages_64x5_tn,gpu_link_transmit,GPU 7,4.455511,0.823050,0.239250,-0.583800,-7.631914,0.000000,0.004040,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
