Function Name,Metric Name,Device,Suspicion Score,β_normal(%),β_abnormal(%),Δβ(%),Z-Score(β),p-value(β),U-test p(β),μ_normal,μ_abnormal,Δμ,Z-Score(μ),Z-Score(log_μ),p-value(μ),U-test p(μ)
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,process_gpu_usage,GPU 3,1269.174909,4.189863,13.439500,9.249638,115.075435,0.000001,0.000082,11.125000,38.222222,27.097222,42.281936,22.138040,0.000000,0.000488
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_util,GPU 3,1172.429343,4.176850,13.973075,9.796225,118.902213,0.000000,0.000155,0.229375,0.413250,0.183875,0.755088,0.779536,0.147596,0.148884
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_occupancy,GPU 3,1171.854416,4.176850,13.973075,9.796225,118.902213,0.000000,0.000155,0.023250,0.041000,0.017750,0.716874,0.720848,0.161178,0.147954
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_receive,GPU 3,1164.792829,4.176850,13.973075,9.796225,118.902213,0.000000,0.000155,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_link_transmit,GPU 3,1164.792829,4.176850,13.973075,9.796225,118.902213,0.000000,0.000155,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,process_gpu_usage,GPU 3,1102.316381,2.904587,10.168700,7.264112,129.610213,0.000001,0.000082,11.125000,38.222222,27.097222,42.281936,22.138040,0.000000,0.000488
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_util,GPU 3,1065.975705,2.893937,10.592075,7.698137,137.692361,0.000000,0.000155,0.229375,0.413250,0.183875,0.755088,0.779536,0.147596,0.148884
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_occupancy,GPU 3,1065.523912,2.893937,10.592075,7.698137,137.692361,0.000000,0.000155,0.023250,0.041000,0.017750,0.716874,0.720848,0.161178,0.147954
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_receive,GPU 3,1059.974727,2.893937,10.592075,7.698137,137.692361,0.000000,0.000155,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_transmit,GPU 3,1059.974727,2.893937,10.592075,7.698137,137.692361,0.000000,0.000155,0.000000,0.000000,0.000000,0.000000,0.000000,,1.000000
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_usage,GPU 3,1020.444306,4.126725,14.098075,9.971350,75.889893,0.000000,0.000155,11.000000,38.125000,27.125000,50.746228,26.447735,0.000000,0.000662
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_sm_frequency,GPU 3,954.311997,4.126725,14.098075,9.971350,75.889893,0.000000,0.000155,123562.500000,21000.000000,-102562.500000,-9.092165,-19.815503,0.000000,0.000321
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x5_tn,gpu_frequency,GPU 3,954.311997,4.126725,14.098075,9.971350,75.889893,0.000000,0.000155,123562.500000,21000.000000,-102562.500000,-9.092165,-19.815503,0.000000,0.000321
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_usage,GPU 3,886.210735,2.859450,10.685125,7.825675,86.796264,0.000000,0.000155,11.000000,38.125000,27.125000,50.746228,26.447735,0.000000,0.000662
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_frequency,GPU 3,834.309040,2.859450,10.685125,7.825675,86.796264,0.000000,0.000155,123562.500000,21000.000000,-102562.500000,-9.092165,-19.815503,0.000000,0.000321
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_sm_frequency,GPU 3,834.309040,2.859450,10.685125,7.825675,86.796264,0.000000,0.000155,123562.500000,21000.000000,-102562.500000,-9.092165,-19.815503,0.000000,0.000321
