Function Name,Metric Name,Device,Suspicion Score,β_normal(%),β_abnormal(%),Δβ(%),Z-Score(β),p-value(β),U-test p(β),μ_normal,μ_abnormal,Δμ,Z-Score(μ),Z-Score(log_μ),p-value(μ),U-test p(μ)
"void vllm::cross_device_reduce_1stage<__half, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __half*, int, int)",gpu_link_transmit,GPU 7,277.417204,78.710429,52.366829,-26.343600,-2.334314,0.105518,0.053030,1654694328.571429,27471916290200.007812,27470261595871.437500,15418.428346,8.196411,0.000000,0.002093
oncpu,process_cpu_usage,Host,183.680369,160.981462,166.246788,5.265325,0.863049,0.045360,0.004662,1.460538,2.471025,1.010487,40.613241,34.021857,0.000000,0.000155
"void vllm::cross_device_reduce_1stage<__half, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __half*, int, int)",process_gpu_usage,GPU 7,86.443443,81.856757,55.370613,-26.486145,-2.301726,0.052874,0.020513,90.142857,100.000000,9.857143,0.975320,0.961997,0.041744,0.021139
"void vllm::cross_device_reduce_1stage<__half, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __half*, int, int)",gpu_usage,GPU 7,84.570501,80.159600,52.366829,-27.792771,-2.330519,0.091360,0.037879,86.857143,100.000000,13.142857,0.739957,0.712376,0.098001,0.030721
"void vllm::cross_device_reduce_1stage<__half, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __half*, int, int)",gpu_link_receive,GPU 7,75.392824,78.710429,52.366829,-26.343600,-2.334314,0.105518,0.053030,1654693985.714286,835706142.857143,-818987842.857143,-0.459679,-0.527589,0.351674,0.699587
"void vllm::cross_device_reduce_1stage<__half, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __half*, int, int)",gpu_sm_occupancy,GPU 7,70.262280,78.710429,52.366829,-26.343600,-2.334314,0.105518,0.053030,0.016571,0.010714,-0.005857,-0.332154,-0.332834,0.508809,0.242771
"void vllm::cross_device_reduce_1stage<__half, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __half*, int, int)",gpu_sm_util,GPU 7,70.176593,78.710429,52.366829,-26.343600,-2.334314,0.105518,0.053030,0.159143,0.098143,-0.061000,-0.324737,-0.329582,0.516678,0.699587
"void vllm::cross_device_reduce_1stage<__half, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __half*, int, int)",gpu_sm_frequency,GPU 7,64.771591,80.159600,52.366829,-27.792771,-2.330519,0.091360,0.037879,141000.000000,141000.000000,0.000000,0.000000,0.000000,,1.000000
"void vllm::cross_device_reduce_1stage<__half, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __half*, int, int)",gpu_mem_used,GPU 7,64.771591,80.159600,52.366829,-27.792771,-2.330519,0.091360,0.037879,90.877300,96.389500,5.512200,0.000000,0.000000,0.000000,0.000412
"void vllm::cross_device_reduce_1stage<__half, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __half*, int, int)",gpu_mem_frequency,GPU 7,64.771591,80.159600,52.366829,-27.792771,-2.330519,0.091360,0.037879,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
"void vllm::cross_device_reduce_1stage<__half, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __half*, int, int)",gpu_frequency,GPU 7,64.771591,80.159600,52.366829,-27.792771,-2.330519,0.091360,0.037879,141000.000000,141000.000000,0.000000,0.000000,0.000000,,1.000000
runq,process_cpu_usage,Host,12.886908,5.738650,6.113012,0.374363,0.522032,0.184592,0.049883,1.460638,2.471013,1.010375,40.466651,33.901575,0.000000,0.000155
oncpu,cpu_frequency,Host,8.298907,161.269763,166.465156,5.195393,0.822846,0.053361,0.007898,87.455438,87.503989,0.048551,0.774729,0.774513,0.065414,0.002984
oncpu,host_cpu_usage,Host,7.762007,161.269763,166.465156,5.195393,0.822846,0.053361,0.007898,8.497750,8.114667,-0.383083,-0.678557,-0.671171,0.108267,0.092719
write,disk_usage,Host,3.727541,23.815150,25.467978,1.652828,1.090423,0.026272,0.027396,64.490900,79.528733,15.037833,1.198820,1.164828,0.011813,0.015220
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_transmit,GPU 7,3.706348,1.417829,1.777743,0.359914,2.101451,0.001349,0.000583,1654694328.571429,27471916290200.003906,27470261595871.433594,15418.428346,8.196411,0.000000,0.002093
ampere_fp16_s16816gemm_fp16_128x64_ldg8_f2f_stages_32x6_tn,gpu_link_transmit,GPU 7,3.395735,1.522014,1.860057,0.338043,1.848867,0.002621,0.000583,1654694328.571429,27471916290200.003906,27470261595871.433594,15418.428346,8.196411,0.000000,0.002093
Memcpy DtoD (Device -> Device),gpu_link_transmit,GPU 7,1.299653,0.115671,0.204157,0.088486,6.491304,0.000000,0.000583,1654694328.571429,27471916290200.003906,27470261595871.433594,15418.428346,8.196411,0.000000,0.002093
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_usage,GPU 7,1.032697,1.415486,1.777743,0.362257,2.138354,0.001229,0.000583,86.857143,100.000000,13.142857,0.739957,0.712376,0.098001,0.030721
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,process_gpu_usage,GPU 7,0.992982,1.417314,1.755038,0.337723,1.978226,0.001760,0.000311,90.142857,100.000000,9.857143,0.975320,0.961997,0.041744,0.021139
"void at::native::vectorized_elementwise_kernel<4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",gpu_link_transmit,GPU 7,0.958790,0.073286,0.136014,0.062729,7.088324,0.000001,0.000583,1654694328.571429,27471916290199.996094,27470261595871.425781,15418.428346,8.196411,0.000000,0.002093
ampere_fp16_s16816gemm_fp16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn,gpu_link_receive,GPU 7,0.946229,1.417829,1.777743,0.359914,2.101451,0.001349,0.000583,1654693985.714286,835706142.857143,-818987842.857143,-0.459679,-0.527589,0.351674,0.699587
"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>)",gpu_link_transmit,GPU 7,0.934499,0.073429,0.135543,0.062114,6.848427,0.000001,0.000583,1654694328.571429,27471916290200.007812,27470261595871.437500,15418.428346,8.196411,0.000000,0.002093
