Function Name,Metric Name,Device,Suspicion Score,β_normal(%),β_abnormal(%),Δβ(%),Z-Score(β),p-value(β),U-test p(β),μ_normal,μ_abnormal,Δμ,Z-Score(μ),Z-Score(log_μ),p-value(μ),U-test p(μ)
"void vllm::cross_device_reduce_1stage<__half, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __half*, int, int)",gpu_link_transmit,GPU 7,149.483456,78.196414,54.120957,-24.075457,-5.857427,0.116028,0.259324,1268414671.428571,789925285.714286,-478489385.714286,-0.308211,-0.351529,0.517348,0.247013
"void vllm::cross_device_reduce_1stage<__half, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __half*, int, int)",gpu_link_receive,GPU 7,149.483377,78.196414,54.120957,-24.075457,-5.857427,0.116028,0.259324,1268413028.571429,789924714.285714,-478488314.285714,-0.308211,-0.351526,0.517349,0.247013
"void vllm::cross_device_reduce_1stage<__half, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __half*, int, int)",gpu_sm_util,GPU 7,142.502908,78.196414,54.120957,-24.075457,-5.857427,0.116028,0.259324,0.156714,0.165143,0.008429,0.042352,0.061584,0.933643,0.245429
"void vllm::cross_device_reduce_1stage<__half, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __half*, int, int)",gpu_sm_occupancy,GPU 7,141.444105,78.196414,54.120957,-24.075457,-5.857427,0.116028,0.259324,0.016286,0.016571,0.000286,0.015651,0.017606,0.975595,0.361969
"void vllm::cross_device_reduce_1stage<__half, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __half*, int, int)",gpu_usage,GPU 7,76.493648,78.997275,62.270367,-16.726908,-3.819922,0.227142,0.344988,85.000000,100.000000,15.000000,0.792143,0.753167,0.060032,0.029139
oncpu,process_cpu_usage,Host,73.791750,166.339000,163.259067,-3.079933,-1.112129,0.017597,0.013419,1.565956,2.566722,1.000767,27.059929,22.846750,0.000000,0.000412
"void vllm::cross_device_reduce_1stage<__half, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __half*, int, int)",gpu_mem_used,GPU 7,63.895487,78.997275,62.270367,-16.726908,-3.819922,0.227142,0.344988,90.872500,96.423700,5.551200,0.000000,0.000000,0.000000,0.000415
"void vllm::cross_device_reduce_1stage<__half, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __half*, int, int)",gpu_frequency,GPU 7,63.895487,78.997275,62.270367,-16.726908,-3.819922,0.227142,0.344988,141000.000000,141000.000000,0.000000,0.000000,0.000000,,1.000000
"void vllm::cross_device_reduce_1stage<__half, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __half*, int, int)",gpu_mem_frequency,GPU 7,63.895487,78.997275,62.270367,-16.726908,-3.819922,0.227142,0.344988,159300.000000,159300.000000,0.000000,0.000000,0.000000,,1.000000
"void vllm::cross_device_reduce_1stage<__half, 2>(vllm::RankData*, vllm::RankSignals, vllm::Signal*, __half*, int, int)",gpu_sm_frequency,GPU 7,63.895487,78.997275,62.270367,-16.726908,-3.819922,0.227142,0.344988,141000.000000,141000.000000,0.000000,0.000000,0.000000,,1.000000
Memcpy DtoD (Device -> Device),gpu_link_transmit,GPU 7,44.407823,0.125857,0.342757,0.216900,204.387168,0.000002,0.002141,1268414671.428571,789925285.714286,-478489385.714286,-0.308211,-0.351529,0.517348,0.247013
Memcpy DtoD (Device -> Device),gpu_link_receive,GPU 7,44.407823,0.125857,0.342757,0.216900,204.387168,0.000002,0.002141,1268413028.571429,789924714.285714,-478488314.285714,-0.308211,-0.351526,0.517349,0.247013
write,disk_usage,Host,41.034911,24.010267,29.397567,5.387300,5.794688,0.000000,0.000412,77.919244,65.311789,-12.607456,-1.737150,-1.822283,0.001576,0.006193
"void at::native::vectorized_elementwise_kernel<4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",gpu_link_transmit,GPU 7,28.731186,0.080371,0.213843,0.133471,214.909417,0.000000,0.000583,1268414671.428571,789925285.714286,-478489385.714286,-0.308211,-0.351529,0.517348,0.247013
"void at::native::vectorized_elementwise_kernel<4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",gpu_link_receive,GPU 7,28.731186,0.080371,0.213843,0.133471,214.909417,0.000000,0.000583,1268413028.571429,789924714.285714,-478488314.285714,-0.308211,-0.351526,0.517349,0.247013
"void at::native::vectorized_elementwise_kernel<4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",gpu_sm_util,GPU 7,28.692487,0.080371,0.213843,0.133471,214.909417,0.000000,0.000583,0.156714,0.165143,0.008429,0.042352,0.061584,0.933643,0.245429
"void at::native::vectorized_elementwise_kernel<4, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::rsqrt_kernel_cuda(at::TensorIteratorBase&)::{lambda()#2}::operator()() const::{lambda()#2}::operator()() const::{lambda(float)#1}, std::array<char*, 2ul>)",gpu_sm_occupancy,GPU 7,28.686617,0.080371,0.213843,0.133471,214.909417,0.000000,0.000583,0.016286,0.016571,0.000286,0.015651,0.017606,0.975595,0.361969
"void at::native::vectorized_elementwise_kernel<4, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul> >(int, at::native::float16_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda(float)#1}, std::array<char*, 2ul>)",gpu_link_transmit,GPU 7,28.264512,0.079986,0.213971,0.133986,210.600152,0.000000,0.002141,1268414671.428571,789925285.714286,-478489385.714286,-0.308211,-0.351529,0.517348,0.247013
