duration_us,compute_batch_size,compute_avg_input_length,compute_max_input_length,compute_avg_output_length,compute_max_output_length,post_batch_size,post_avg_input_length,post_max_input_length,post_avg_output_length,post_max_output_length,compute_forward_mode,post_forward_mode,job_name,start_ts
150525.00,16,239.75,255,95.00,95,16,239.75,255,95.00,95,2,2,in256_out256_conc16,1764238539813979.75
150533.50,16,239.75,255,96.00,96,16,239.75,255,96.00,96,2,2,in256_out256_conc16,1764238539964867.00
150645.50,16,239.75,255,97.00,97,16,239.75,255,97.00,97,2,2,in256_out256_conc16,1764238540115678.00
150604.00,16,239.75,255,98.00,98,16,239.75,255,98.00,98,2,2,in256_out256_conc16,1764238540266668.50
150634.00,16,239.75,255,99.00,99,16,239.75,255,99.00,99,2,2,in256_out256_conc16,1764238540417609.75
150418.50,16,239.75,255,100.00,100,16,239.75,255,100.00,100,2,2,in256_out256_conc16,1764238540568728.00
150499.25,16,239.75,255,101.00,101,16,239.75,255,101.00,101,2,2,in256_out256_conc16,1764238540719606.25
150528.75,16,239.75,255,102.00,102,16,239.75,255,102.00,102,2,2,in256_out256_conc16,1764238540870560.50
150504.00,16,239.75,255,103.00,103,16,239.75,255,103.00,103,2,2,in256_out256_conc16,1764238541021552.50
150513.00,16,239.75,255,104.00,104,16,239.75,255,104.00,104,2,2,in256_out256_conc16,1764238541172474.00
150596.50,16,239.75,255,105.00,105,16,239.75,255,105.00,105,2,2,in256_out256_conc16,1764238541323352.75
150380.50,16,239.75,255,106.00,106,16,239.75,255,106.00,106,2,2,in256_out256_conc16,1764238541474591.50
150434.75,16,239.75,255,107.00,107,16,239.75,255,107.00,107,2,2,in256_out256_conc16,1764238541625393.75
150552.75,16,239.75,255,108.00,108,16,239.75,255,108.00,108,2,2,in256_out256_conc16,1764238541776198.75
150538.00,16,239.75,255,109.00,109,16,239.75,255,109.00,109,2,2,in256_out256_conc16,1764238541927100.50
150668.00,16,239.75,255,110.00,110,16,239.75,255,110.00,110,2,2,in256_out256_conc16,1764238542077962.50
150494.50,16,239.75,255,111.00,111,16,239.75,255,111.00,111,2,2,in256_out256_conc16,1764238542229050.25
150556.00,16,239.75,255,112.00,112,16,239.75,255,112.00,112,2,2,in256_out256_conc16,1764238542379945.50
