Size,MAPE,% in 10%,Coverage,MAPE_train,% in 10%_train
50,0.09824630457846881,0.914500403005642,0.9603338446738254,2.7469030982761316e-05,1.0
51,0.09889416729376424,0.9188112633576869,0.9603338446738254,5.097549554329934e-05,1.0
52,0.10140037511854456,0.9239697355762981,0.9603338446738254,2.012346250505909e-05,1.0
53,0.10318194509748704,0.9145108031512441,0.9633446868256156,3.3369287058975174e-05,1.0
55,0.10810597516666336,0.9154572164010297,0.9633810873352227,2.7766797152335337e-05,1.0
56,0.10106599300932165,0.927739788357037,0.9633810873352227,6.013263203640622e-05,1.0
58,0.10885242277274151,0.9050778710901952,0.9646811055354775,5.026367149645912e-05,1.0
59,0.10932497009458171,0.9240269363771093,0.9646811055354775,3.7225988599268756e-05,1.0
61,0.09642203462246504,0.924219339070747,0.9654767166740335,4.199294890397243e-05,1.0
62,0.10441998260332422,0.9273913834793687,0.9654767166740335,5.4144022287221095e-05,1.0
64,0.0902520591869477,0.940157562205871,0.9654767166740335,6.42785735687577e-05,1.0
66,0.09002528712287612,0.938540339564754,0.9659967239541354,6.45912584398787e-05,1.0
67,0.10676595505513901,0.898785783000962,0.9659967239541354,9.299008522357725e-05,1.0
69,0.10138332905034438,0.9184004576064065,0.9659967239541354,7.823356496437369e-05,1.0
71,0.09722321119141286,0.8924208938925144,0.9660331244637425,8.480071969613589e-05,1.0
73,0.3071475063611028,0.8750318504459063,0.9677751488520838,9.1759854466071e-05,1.0
74,0.1785212814602552,0.8524999349990899,0.9677751488520838,0.00010424004425113095,1.0
76,0.270589539133097,0.8715426015964223,0.96862276071865,9.702092288327577e-05,1.0
78,0.1942294290569788,0.8713085983203765,0.96862276071865,9.899266513575288e-05,1.0
80,0.28421963074664236,0.8737786329008607,0.96862276071865,9.774232433215919e-05,1.0
82,0.23762511952096083,0.8284807987311822,0.96862276071865,0.00014272116100924666,1.0
84,0.27866090313194775,0.8700397805569278,0.96862276071865,0.00013916587619442839,1.0
87,0.3438145946058001,0.8721042094589324,0.96862276071865,0.00016625655921320058,1.0
89,0.15382848819912293,0.8645069030966432,0.970245183432568,0.00026850971578065046,1.0
91,0.14044768476974062,0.8790931073035022,0.970245183432568,0.0005561883187738958,0.9978021978021978
94,0.15688370473674637,0.8865136111905565,0.970245183432568,0.0002691456656120703,1.0
96,0.13121014907338363,0.9322274511843165,0.970245183432568,0.0004102090694846009,1.0
98,0.12627065595613493,0.9244897428564001,0.970245183432568,0.0004769170543587176,1.0
101,0.16024825727009562,0.8652713137983931,0.9703907854709966,0.0005116119055625162,1.0
104,0.19426121055910617,0.842484594784327,0.9703907854709966,0.0007447707964872879,0.998076923076923
106,0.1511115481182564,0.8266243727412184,0.9703907854709966,0.000873679730554283,1.0
109,0.16601832086489862,0.8344712825979563,0.9755596578352096,0.0004823272941058038,1.0
112,0.14385352239131183,0.8675489456852397,0.9755596578352096,0.0008044037279203288,0.9982142857142857
115,0.12155955987799316,0.9184056576792076,0.9755596578352096,0.001122199526043928,0.9947826086956522
118,0.12390110458966194,0.8960193442708198,0.9781648943085204,0.0010176312233777958,0.9966101694915255
121,0.12188605151632056,0.9173500429006006,0.9781648943085204,0.0009295788851731189,0.9983471074380166
124,0.12318183036667074,0.9094043316606433,0.9781648943085204,0.0006909414132122993,1.0
127,0.12565331194683363,0.8817503445048231,0.9781648943085204,0.0006148911919430624,1.0
130,0.11679107373087765,0.9291958087413225,0.9781648943085204,0.0008705443494386228,0.9984615384615385
133,0.12741479989795082,0.8793843113803593,0.9781648943085204,0.0009456701608304922,0.9984962406015038
137,0.13339566511503967,0.9114947609266529,0.9781648943085204,0.0010506829604294866,0.9985401459854014
140,0.18962820441427355,0.8838511739164348,0.9781648943085204,0.0013573385026765877,0.9971428571428571
144,0.17327321631765702,0.8687397623566729,0.9781648943085204,0.001615686855934158,0.9944444444444445
148,0.21895930229693555,0.8439666155326174,0.9800213202984841,0.0014056785699007022,0.9972972972972972
151,0.17368655213778808,0.8396869556173787,0.9800213202984841,0.0016727141430258109,0.9960264900662251
155,0.18999267436668085,0.8578560099841397,0.9800213202984841,0.001480668885931885,0.9974193548387097
159,0.1681433434605623,0.8276487870830191,0.9800213202984841,0.0012037188570996919,0.9987421383647799
163,0.28458477736678633,0.871168196354749,0.9819713475988664,0.0015639635167026106,0.9963190184049079
168,0.24334804775168933,0.8602636436910117,0.9827409583734174,0.0021682436447616844,0.9964285714285716
172,0.19087420287496634,0.8183250565507917,0.9827409583734174,0.0019640912973788232,0.9953488372093023
176,0.23391201483100313,0.8263539689555653,0.9827409583734174,0.0028303235262252856,0.990909090909091
181,0.2633070488192937,0.8007488104833467,0.9827409583734174,0.0029430747742007265,0.994475138121547
185,0.1944465158825855,0.8418345856841997,0.9827409583734174,0.0030006319279213454,0.9924324324324324
190,0.22215503372796963,0.8248303476248667,0.9832557655807183,0.0025197744349423237,0.9947368421052631
195,0.17484986123761526,0.8583344166818334,0.9832557655807183,0.0038873845561435117,0.9917948717948718
200,0.15353603213513248,0.880081121135696,0.9832557655807183,0.002850964357714019,0.994
205,0.2182538430428679,0.7707443904214658,0.9832557655807183,0.003286477059654703,0.9912195121951219
211,0.21754471591370744,0.821424299940199,0.9832557655807183,0.004011684184625761,0.990521327014218
216,0.22491141893738514,0.8515795221133097,0.9832557655807183,0.003569322784331007,0.9925925925925926
221,0.20516877368062766,0.8115181612542575,0.9841709783936976,0.0037350973393765223,0.9909502262443439
227,0.1769728785930083,0.8624008736122306,0.9841709783936976,0.004193995462628011,0.9885462555066079
